"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1","2018-01-24 20:09:37 +1000",4,"Austrochaperina robusta","2018-01-24",1,"None selected","None selected","Tablelands (R)","QLD",4474,-17.25,145.75,2018-01-24 07:01:46,2018-01-24 19:59:19,12.9591666666667,2018-01-24 07:01:22,2018-01-24 19:58:49,12.9575,0.415529996741664,0.222982792991509,1,"2018_24",24,2018,18.647500038147,2018-01-24,1,38.8474998474121,17.9875001907349,0,0.100000001490116,0.25000000372529
"2","2018-11-23 21:50:31 +1000",3.66000008583069,"Austrochaperina robusta","2018-11-23",1,"None selected","None selected","Tablelands (R)","QLD",4406,-17.25,145.25,2018-11-23 06:35:27,2018-11-23 19:36:07,13.0111111111111,2018-11-23 06:36:41,2018-11-23 19:36:46,13.0013888888889,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5399996439616,2018-11-23,11,16.7300001780192,10.9933331807454,2.63333328564962,3.99999995529652,8.23333326478797
"3","2018-11-23 22:00:06 +1000",3.78399991989136,"Austrochaperina robusta","2018-11-23",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2018-11-23 06:35:27,2018-11-23 19:36:07,13.0111111111111,2018-11-23 06:36:41,2018-11-23 19:36:46,13.0013888888889,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5399996439616,2018-11-23,11,16.7300001780192,10.9933331807454,2.63333328564962,3.99999995529652,8.23333326478797
"4","2018-12-09 19:18:07 +1000",10,"Austrochaperina robusta","2018-12-09",2,"No visible water bodies","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2018-12-09 06:37:29,2018-12-09 19:45:41,13.1366666666667,2018-12-09 06:38:46,2018-12-09 19:46:18,13.1255555555556,0.0320589980808007,0.0573024746349566,1,"2018_343",343,2018,14.9500001271566,2018-12-09,12,25.9333337148031,15.0366665522257,0,0.833333330849825,1.2666666681568
"5","2018-12-09 19:23:23 +1000",50,"Austrochaperina robusta","2018-12-09",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2018-12-09 06:37:29,2018-12-09 19:45:42,13.1369444444444,2018-12-09 06:38:46,2018-12-09 19:46:18,13.1255555555556,0.0320589980808007,0.0573024746349566,1,"2018_343",343,2018,14.9500001271566,2018-12-09,12,25.9333337148031,15.0366665522257,0,0.833333330849825,1.2666666681568
"6","2018-12-15 19:48:25 +1000",10,"Austrochaperina robusta","2018-12-15",2,"No visible water bodies","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2018-12-15 06:39:33,2018-12-15 19:49:16,13.1619444444444,2018-12-15 06:40:45,2018-12-15 19:49:43,13.1494444444444,0.461965009178292,0.237881379494188,1,"2018_349",349,2018,13.9166666666667,2018-12-15,12,30.0266660054525,13.8799997965495,0,0.100000001490116,2.46666667610407
"7","2018-12-28 20:55:37 +1000",50,"Austrochaperina robusta","2018-12-28",2,"No visible water bodies","Natural area","Tablelands (R)","QLD",4473,-17.75,145.75,2018-12-28 06:44:54,2018-12-28 19:55:24,13.175,2018-12-28 06:43:53,2018-12-28 19:55:00,13.1852777777778,0.669918905382912,0.694813908508547,1,"2018_362",362,2018,24.7533334096273,2018-12-28,12,42.4899997711182,13.0916665395101,0,0,0.0500000007450581
"8","2019-01-25 20:06:51 +1000",10,"Austrochaperina robusta","2019-01-25",2,"No visible water bodies","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2019-01-25 07:02:41,2019-01-25 20:00:13,12.9588888888889,2019-01-25 07:03:49,2019-01-25 20:00:45,12.9488888888889,0.813239489539463,0.642247713597089,1,"2019_25",25,2019,10.6066665649414,2019-01-25,1,24.5466664632161,11.5366668701172,0,1.23333334922791,1.23333334922791
"9","2019-01-12 00:09:31 +1000",3,"Austrochaperina robusta","2019-01-12",1,"Stream or creek","Rural","Tablelands (R)","QLD",4474,-17.25,145.75,2019-01-12 06:53:42,2019-01-12 19:58:43,13.0836111111111,2019-01-12 06:53:48,2019-01-12 19:58:20,13.0755555555556,0.293642491666862,0.182290271122087,1,"2019_12",12,2019,17.8899993896484,2019-01-12,1,44.2374992370605,9.62249994277954,0,0,0.100000001490116
"10","2019-02-17 21:49:50 +1000",16,"Austrochaperina robusta","2019-02-17",1,"Stream or creek","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2019-02-17 07:14:22,2019-02-17 19:52:46,12.64,2019-02-17 07:15:29,2019-02-17 19:53:32,12.6341666666667,0.908501488561714,0.402183044123409,1,"2019_48",48,2019,14.1966667175293,2019-02-17,2,22.8433335622152,11.7733332316081,0,0.233333339293779,0.333333340783895
"11","2019-08-08 21:25:01 +1000",8.00120827368088,"Austrochaperina robusta","2019-08-08",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4474,-17.25,145.75,2019-08-08 06:41:26,2019-08-08 18:06:35,11.4191666666667,2019-08-08 06:41:19,2019-08-08 18:06:48,11.4247222222222,0.520117873288915,0.256405447062991,1,"2019_220",220,2019,4.95499992370605,2019-08-08,8,13.4475002288818,8.26500010490417,1.375,1.47500000149012,5.7749999538064
"12","2019-10-30 20:12:40 +1000",25.3330001831055,"Austrochaperina robusta","2019-10-30",2,"No visible water bodies","Natural area","Townsville (C)","QLD",4538,-19.25,146.25,2019-10-30 06:37:26,2019-10-30 19:22:45,12.7552777777778,2019-10-30 06:36:59,2019-10-30 19:22:50,12.7641666666667,0.0478634977853352,0.0702068158888495,1,"2019_303",303,2019,9.96999994913737,2019-10-30,10,20.9799995422363,10.1566664377848,0,0,1.06666666517663
"13","2019-12-28 21:15:38 +1000",5.10799980163574,"Austrochaperina robusta","2019-12-28",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4474,-17.25,145.75,2019-12-28 06:44:39,2019-12-28 19:54:20,13.1613888888889,2019-12-28 06:44:43,2019-12-28 19:53:55,13.1533333333333,0.0388716956370181,0.0631715425024756,1,"2019_362",362,2019,22.7075004577637,2019-12-28,12,38.2375011444092,11.772500038147,0,0,0
"14","2019-12-28 21:14:08 +1000",5.10799980163574,"Austrochaperina robusta","2019-12-28",1,"None selected","None selected","Tablelands (R)","QLD",4474,-17.25,145.75,2019-12-28 06:44:39,2019-12-28 19:54:20,13.1613888888889,2019-12-28 06:44:43,2019-12-28 19:53:55,13.1533333333333,0.0388716956370181,0.0631715425024756,1,"2019_362",362,2019,22.7075004577637,2019-12-28,12,38.2375011444092,11.772500038147,0,0,0
"15","2020-01-03 22:34:38 +1000",65,"Austrochaperina robusta","2020-01-03",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4474,-17.25,145.75,2020-01-03 06:48:04,2020-01-03 19:56:32,13.1411111111111,2020-01-03 06:48:08,2020-01-03 19:56:07,13.1330555555556,0.48729163155061,0.245954365018416,1,"2020_3",3,2020,14.4700000286102,2020-01-03,1,39.3174991607666,6.47250008583069,0,0,0.100000001490116
"16","2019-12-29 19:43:12 +1000",10,"Austrochaperina robusta","2019-12-29",2,"No visible water bodies","Rural","Tablelands (R)","QLD",4473,-17.75,145.75,2019-12-29 06:45:19,2019-12-29 19:55:41,13.1727777777778,2019-12-29 06:44:18,2019-12-29 19:55:18,13.1833333333333,0.0864452829376721,0.0949918279716043,1,"2019_363",363,2019,22.4550002415975,2019-12-29,12,43.5133330027262,9.30999994277954,0.100000001490116,0.100000001490116,0.100000001490116
"17","2020-01-10 21:06:24 +1000",5,"Austrochaperina robusta","2020-01-10",2,"No visible water bodies","Backyard/Suburbia","Townsville (C)","QLD",4538,-19.25,146.25,2020-01-10 06:47:18,2020-01-10 19:59:20,13.2005555555556,2020-01-10 06:46:42,2020-01-10 19:59:37,13.2152777777778,0.990816935760096,0.469450023509462,1,"2020_10",10,2020,11.4833335876465,2020-01-10,1,30.3933334350586,10.8766667048136,0,0,0.899999996026281
