"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1","2018-01-10 00:21:56 +1000",24,"Cophixalus aenigma","2018-01-10",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-10 06:55:49,2018-01-10 19:58:46,13.0491666666667,2018-01-10 06:55:37,2018-01-10 19:59:08,13.0586111111111,0.400124858965443,0.782006546089156,1,"2018_10",10,2018,15.5233332316081,2018-01-10,1,34.0599988301595,12.193333307902,0,0,0
"2","2018-07-20 17:41:57 +1000",10,"Cophixalus aenigma","2018-07-20",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-07-20 06:48:23,2018-07-20 18:04:17,11.265,2018-07-20 06:48:52,2018-07-20 18:03:58,11.2516666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018,3.75333333015442,2018-07-20,7,19.4599997202555,12.3666667938232,0.0333333338300387,1.59999997665483,6.06666662295657
"3","2018-10-21 21:56:55 +1000",7.30000019073486,"Cophixalus aenigma","2018-10-21",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-10-21 06:48:37,2018-10-21 19:20:57,12.5388888888889,2018-10-21 06:48:30,2018-10-21 19:21:13,12.5452777777778,0.859867522752949,0.377868360099654,1,"2018_294",294,2018,9.97999986012777,2018-10-21,10,25.0933335622152,9.32000001271566,0,1.89999997615814,4.86666668206453
"4","2018-07-24 18:48:05 +1000",5,"Cophixalus aenigma","2018-07-24",1,"Stream or creek","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-07-24 06:46:36,2018-07-24 18:05:40,11.3177777777778,2018-07-24 06:47:13,2018-07-24 18:06:01,11.3133333333333,0.871949877426019,0.383513008476255,1,"2018_205",205,2018,10.0274999141693,2018-07-24,7,18.0650000572205,12.1449999809265,0,9.69999992847443,15.7499998994172
"5","2019-10-30 18:45:28 +1000",64,"Cophixalus aenigma","2019-10-30",1,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2019-10-30 06:43:48,2019-10-30 19:23:52,12.6677777777778,2019-10-30 06:43:42,2019-10-30 19:24:07,12.6736111111111,0.0478634977853352,0.0702068158888495,1,"2019_303",303,2019,9.57999992370605,2019-10-30,10,30.7999998728434,7.77666664123535,0,0,2.80000003178918
"6","2019-10-11 21:38:45 +1000",20.5270004272461,"Cophixalus aenigma","2019-10-11",1,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2019-10-11 06:55:28,2019-10-11 19:18:35,12.3852777777778,2019-10-11 06:55:27,2019-10-11 19:18:45,12.3883333333333,0.923642579123329,0.410882235079601,1,"2019_284",284,2019,10.6800003051758,2019-10-11,10,23.0499998728434,14.1466665267944,0,0,6.39999998112512
"7","2020-09-30 11:39:00 +1000",10.2239999771118,"Cophixalus aenigma","2020-09-30",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2020-09-30 06:03:22,2020-09-30 18:16:58,12.2266666666667,2020-09-30 06:03:24,2020-09-30 18:17:07,12.2286111111111,0.968090905331755,0.442833114216689,1,"2020_274",274,2020,10.3900000254313,2020-09-30,9,23.7000001271566,11.5499998728434,0.0333333338300387,1.30000000943733,7.16666676600767
"8","2017-12-30 21:20:26 +1000",6,"Cophixalus aenigma","2017-12-30",2,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-30 06:49:17,2017-12-30 19:55:34,13.1047222222222,2017-12-30 06:49:04,2017-12-30 19:55:57,13.1147222222222,0.872861429761021,0.383947846414613,1,"2017_364",364,2017,14.8266668319702,2017-12-30,12,28.5300000508626,14.5733334223429,0,0,0
"9","2018-02-27 19:52:08 +1000",37.0909996032715,"Cophixalus aenigma","2018-02-27",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-02-27 07:19:24,2018-02-27 19:46:54,12.4583333333333,2018-02-27 07:19:27,2018-02-27 19:47:10,12.4619444444444,0.890182972253918,0.392483592101462,1,"2018_58",58,2018,10.1433331171672,2018-02-27,2,21.556666692098,12.346666653951,5.63333320617676,9.66666654745738,18.4999999602636
"10","2018-03-05 19:22:14 +1000",96,"Cophixalus aenigma","2018-03-05",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-03-05 07:20:58,2018-03-05 19:42:53,12.3652777777778,2018-03-05 07:21:03,2018-03-05 19:43:08,12.3680555555556,0.888588717924495,0.60832537322296,1,"2018_64",64,2018,11.613333384196,2018-03-05,3,28.0266660054525,12.7233333587646,0,0,10.8666665951411
"11","2018-03-05 20:19:59 +1000",10,"Cophixalus aenigma","2018-03-05",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-03-05 07:20:58,2018-03-05 19:42:54,12.3655555555556,2018-03-05 07:21:03,2018-03-05 19:43:08,12.3680555555556,0.888588717924495,0.60832537322296,1,"2018_64",64,2018,11.613333384196,2018-03-05,3,28.0266660054525,12.7233333587646,0,0,10.8666665951411
"12","2018-03-17 21:40:10 +1000",10,"Cophixalus aenigma","2018-03-17",2,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-03-17 07:23:28,2018-03-17 19:34:05,12.1769444444444,2018-03-17 07:23:32,2018-03-17 19:34:11,12.1775,0.00486557664597659,0.977778667458844,1,"2018_76",76,2018,11.0266666412354,2018-03-17,3,22.0466664632161,10.3333333333333,0,3.93333339691162,4.33333341032267
"13","2018-03-17 21:38:48 +1000",10,"Cophixalus aenigma","2018-03-17",2,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-03-17 07:23:28,2018-03-17 19:34:05,12.1769444444444,2018-03-17 07:23:32,2018-03-17 19:34:11,12.1775,0.00486557664597659,0.977778667458844,1,"2018_76",76,2018,11.0266666412354,2018-03-17,3,22.0466664632161,10.3333333333333,0,3.93333339691162,4.33333341032267
"14","2018-12-06 20:04:35 +1000",17.9249992370605,"Cophixalus aenigma","2018-12-06",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-12-06 06:39:17,2018-12-06 19:43:05,13.0633333333333,2018-12-06 06:38:55,2018-12-06 19:43:37,13.0783333333333,0.0164531797062455,0.959057607323525,1,"2018_340",340,2018,13.1266667048136,2018-12-06,12,19.7933336893717,11.4166666666667,0.133333335320155,0.133333335320174,0.23333333681029
"15","2018-12-06 20:06:29 +1000",29.1229991912842,"Cophixalus aenigma","2018-12-06",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-12-06 06:39:17,2018-12-06 19:43:05,13.0633333333333,2018-12-06 06:38:55,2018-12-06 19:43:37,13.0783333333333,0.0164531797062455,0.959057607323525,1,"2018_340",340,2018,13.1266667048136,2018-12-06,12,19.7933336893717,11.4166666666667,0.133333335320155,0.133333335320174,0.23333333681029
"16","2018-11-27 17:49:51 +1000",5.07100009918213,"Cophixalus aenigma","2018-11-27",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-27 06:37:55,2018-11-27 19:37:46,12.9975,2018-11-27 06:37:36,2018-11-27 19:38:16,13.0111111111111,0.832248483816164,0.634322928643246,1,"2018_331",331,2018,4.22666660944621,2018-11-27,11,22.8366667429606,11.7533334096273,0.100000001490116,2.13333333780366,14.1666665350397
"17","2018-11-23 20:41:19 +1000",8.30300045013428,"Cophixalus aenigma","2018-11-23",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-23 06:37:49,2018-11-23 19:35:28,12.9608333333333,2018-11-23 06:37:30,2018-11-23 19:35:57,12.9741666666667,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5900001525879,2018-11-23,11,16.9766667683919,11.0066665013631,1.96666661898295,3.66666663686436,9.19999994337559
"18","2018-11-23 20:34:32 +1000",64,"Cophixalus aenigma","2018-11-23",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-23 06:37:49,2018-11-23 19:35:29,12.9611111111111,2018-11-23 06:37:30,2018-11-23 19:35:57,12.9741666666667,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5900001525879,2018-11-23,11,16.9766667683919,11.0066665013631,1.96666661898295,3.66666663686436,9.19999994337559
"19","2018-11-23 20:33:04 +1000",1003.5,"Cophixalus aenigma","2018-11-23",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-23 06:37:49,2018-11-23 19:35:28,12.9608333333333,2018-11-23 06:37:30,2018-11-23 19:35:57,12.9741666666667,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5900001525879,2018-11-23,11,16.9766667683919,11.0066665013631,1.96666661898295,3.66666663686436,9.19999994337559
"20","2018-11-23 20:31:18 +1000",64,"Cophixalus aenigma","2018-11-23",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-23 06:37:49,2018-11-23 19:35:28,12.9608333333333,2018-11-23 06:37:30,2018-11-23 19:35:57,12.9741666666667,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5900001525879,2018-11-23,11,16.9766667683919,11.0066665013631,1.96666661898295,3.66666663686436,9.19999994337559
"21","2018-11-23 20:22:53 +1000",3.65599989891052,"Cophixalus aenigma","2018-11-23",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-23 06:37:49,2018-11-23 19:35:28,12.9608333333333,2018-11-23 06:37:30,2018-11-23 19:35:57,12.9741666666667,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5900001525879,2018-11-23,11,16.9766667683919,11.0066665013631,1.96666661898295,3.66666663686436,9.19999994337559
"22","2018-11-23 19:03:22 +1000",12,"Cophixalus aenigma","2018-11-23",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-23 06:37:49,2018-11-23 19:35:28,12.9608333333333,2018-11-23 06:37:30,2018-11-23 19:35:57,12.9741666666667,0.997253525233596,0.483310745750351,1,"2018_327",327,2018,13.5900001525879,2018-11-23,11,16.9766667683919,11.0066665013631,1.96666661898295,3.66666663686436,9.19999994337559
"23","2018-11-13 18:49:39 +1000",25.8229999542236,"Cophixalus aenigma","2018-11-13",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-13 06:38:56,2018-11-13 19:30:04,12.8522222222222,2018-11-13 06:38:41,2018-11-13 19:30:29,12.8633333333333,0.268379443945337,0.173343196898797,1,"2018_317",317,2018,13.5333331425985,2018-11-13,11,24.3333333333333,11.4533335367839,0.100000001490116,0.600000011424243,2.86666671683395
"24","2018-11-13 18:48:23 +1000",25.8229999542236,"Cophixalus aenigma","2018-11-13",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-13 06:38:56,2018-11-13 19:30:04,12.8522222222222,2018-11-13 06:38:41,2018-11-13 19:30:29,12.8633333333333,0.268379443945337,0.173343196898797,1,"2018_317",317,2018,13.5333331425985,2018-11-13,11,24.3333333333333,11.4533335367839,0.100000001490116,0.600000011424243,2.86666671683395
"25","2018-11-13 18:47:09 +1000",4.15700006484985,"Cophixalus aenigma","2018-11-13",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-13 06:38:56,2018-11-13 19:30:04,12.8522222222222,2018-11-13 06:38:41,2018-11-13 19:30:29,12.8633333333333,0.268379443945337,0.173343196898797,1,"2018_317",317,2018,13.5333331425985,2018-11-13,11,24.3333333333333,11.4533335367839,0.100000001490116,0.600000011424243,2.86666671683395
"26","2018-10-21 04:17:10 +1000",3.90000009536743,"Cophixalus aenigma","2018-10-21",2,"Stream or creek","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-21 06:48:30,2018-10-21 19:20:15,12.5291666666667,2018-10-21 06:48:54,2018-10-21 19:20:48,12.5316666666667,0.859867522752949,0.377868360099654,1,"2018_294",294,2018,10.3775000572205,2018-10-21,10,25.8399996757507,9.84749984741211,0,2.14999997615814,5.19999998435378
"27","2018-10-21 04:11:16 +1000",48,"Cophixalus aenigma","2018-10-21",2,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-21 06:48:30,2018-10-21 19:20:15,12.5291666666667,2018-10-21 06:48:54,2018-10-21 19:20:48,12.5316666666667,0.859867522752949,0.377868360099654,1,"2018_294",294,2018,10.3775000572205,2018-10-21,10,25.8399996757507,9.84749984741211,0,2.14999997615814,5.19999998435378
"28","2018-10-21 02:15:31 +1000",400,"Cophixalus aenigma","2018-10-21",2,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-21 06:48:30,2018-10-21 19:20:15,12.5291666666667,2018-10-21 06:48:54,2018-10-21 19:20:48,12.5316666666667,0.859867522752949,0.377868360099654,1,"2018_294",294,2018,10.3775000572205,2018-10-21,10,25.8399996757507,9.84749984741211,0,2.14999997615814,5.19999998435378
"29","2018-10-20 22:05:49 +1000",48,"Cophixalus aenigma","2018-10-20",2,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-20 06:49:06,2018-10-20 19:20:00,12.515,2018-10-20 06:49:31,2018-10-20 19:20:32,12.5169444444444,0.787897497890253,0.347653681289158,1,"2018_293",293,2018,7.82500004768372,2018-10-20,10,26.4025001525879,12.3900001049042,0,2.4249999858439,5.19999998435378
"30","2018-10-20 19:39:11 +1000",250,"Cophixalus aenigma","2018-10-20",2,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-20 06:49:06,2018-10-20 19:19:59,12.5147222222222,2018-10-20 06:49:31,2018-10-20 19:20:32,12.5169444444444,0.787897497890253,0.347653681289158,1,"2018_293",293,2018,7.82500004768372,2018-10-20,10,26.4025001525879,12.3900001049042,0,2.4249999858439,5.19999998435378
"31","2018-10-20 19:00:16 +1000",3.03600001335144,"Cophixalus aenigma","2018-10-20",2,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-20 06:49:06,2018-10-20 19:19:59,12.5147222222222,2018-10-20 06:49:31,2018-10-20 19:20:32,12.5169444444444,0.787897497890253,0.347653681289158,1,"2018_293",293,2018,7.82500004768372,2018-10-20,10,26.4025001525879,12.3900001049042,0,2.4249999858439,5.19999998435378
"32","2018-10-20 18:52:52 +1000",3,"Cophixalus aenigma","2018-10-20",2,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-20 06:49:06,2018-10-20 19:20:00,12.515,2018-10-20 06:49:31,2018-10-20 19:20:32,12.5169444444444,0.787897497890253,0.347653681289158,1,"2018_293",293,2018,7.82500004768372,2018-10-20,10,26.4025001525879,12.3900001049042,0,2.4249999858439,5.19999998435378
"33","2018-10-20 18:13:20 +1000",47.4959983825684,"Cophixalus aenigma","2018-10-20",2,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-10-20 06:49:06,2018-10-20 19:20:00,12.515,2018-10-20 06:49:31,2018-10-20 19:20:32,12.5169444444444,0.787897497890253,0.347653681289158,1,"2018_293",293,2018,7.82500004768372,2018-10-20,10,26.4025001525879,12.3900001049042,0,2.4249999858439,5.19999998435378
