"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1","2017-12-03 20:12:13 +1000",22.4799995422363,"Cophixalus australis","2017-12-03",1,"Small pond","Other","Tablelands (R)","QLD",4406,-17.25,145.25,2017-12-03 06:36:28,2017-12-03 19:41:59,13.0919444444444,2017-12-03 06:37:27,2017-12-03 19:42:54,13.0908333333333,0.991711664370312,0.470980792144052,1,"2017_337",337,2017,8.58333301544189,2017-12-03,12,30.6199995676676,10.4933331807454,0.100000001490116,1.8000000094374,7.89999996374051
"2","2017-12-28 19:39:31 +1000",20,"Cophixalus australis","2017-12-28",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2017-12-28 06:45:48,2017-12-28 19:55:41,13.1647222222222,2017-12-28 06:47:00,2017-12-28 19:56:08,13.1522222222222,0.689039743006074,0.311707700647358,1,"2017_362",362,2017,12.6833333969116,2017-12-28,12,24.0433330535889,11.6266667048136,0,0,4.39999993642171
"3","2017-12-28 20:32:29 +1000",12,"Cophixalus australis","2017-12-28",1,"None selected","None selected","Tablelands (R)","QLD",4406,-17.25,145.25,2017-12-28 06:45:48,2017-12-28 19:55:41,13.1647222222222,2017-12-28 06:47:00,2017-12-28 19:56:08,13.1522222222222,0.689039743006074,0.311707700647358,1,"2017_362",362,2017,12.6833333969116,2017-12-28,12,24.0433330535889,11.6266667048136,0,0,4.39999993642171
"4","2018-01-13 19:51:25 +1000",214.17399597168,"Cophixalus australis","2018-01-13",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4406,-17.25,145.25,2018-01-13 06:55:46,2018-01-13 20:00:00,13.0705555555556,2018-01-13 06:56:35,2018-01-13 20:00:31,13.0655555555556,0.144783905365768,0.87575025089221,1,"2018_13",13,2018,16.4266668955485,2018-01-13,1,29.4533335367839,12.6399997075399,0,0,0
"5","2018-01-05 19:29:13 +1000",9.10200023651123,"Cophixalus australis","2018-01-05",1,"Flooded area","None selected","Townsville (C)","QLD",4538,-19.25,146.25,2018-01-05 06:44:32,2018-01-05 19:58:26,13.2316666666667,2018-01-05 06:43:51,2018-01-05 19:58:40,13.2469444444444,0.887710688160601,0.608768745455731,1,"2018_5",5,2018,12.4200000762939,2018-01-05,1,26.6099999745687,9.02666664123535,0,0,0
"6","2018-02-06 19:21:59 +1000",5,"Cophixalus australis","2018-02-06",1,"No visible water bodies","Natural area","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-02-06 07:06:45,2018-02-06 19:55:52,12.8186111111111,2018-02-06 07:05:58,2018-02-06 19:54:44,12.8127777777778,0.669797190935945,0.694855101232958,1,"2018_37",37,2018,16.25,2018-02-06,2,31.1824998855591,13.8050000667572,0,0,0
"7","2018-02-07 19:54:27 +1000",21,"Cophixalus australis","2018-02-07",1,"No visible water bodies","Natural area","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-02-07 07:07:16,2018-02-07 19:55:31,12.8041666666667,2018-02-07 07:06:29,2018-02-07 19:54:23,12.7983333333333,0.57104735390011,0.727308121831392,1,"2018_38",38,2018,14.6375000476837,2018-02-07,2,26.4225001335144,13.6299998760223,0,0,0
"8","2018-02-08 20:19:09 +1000",3.5,"Cophixalus australis","2018-02-08",1,"None selected","None selected","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2018-02-08 07:08:35,2018-02-08 19:55:11,12.7766666666667,2018-02-08 07:08:59,2018-02-08 19:56:01,12.7838888888889,0.471948907642823,0.758933630568415,1,"2018_39",39,2018,20.6116663614909,2018-02-08,2,41.0083332061768,15.3716665903727,0,0,6.68333331743877
"9","2018-02-21 21:28:34 +1000",165,"Cophixalus australis","2018-02-21",1,"No visible water bodies","Natural area","Townsville (C)","QLD",4538,-19.25,146.25,2018-02-21 07:11:00,2018-02-21 19:48:12,12.62,2018-02-21 07:11:22,2018-02-21 19:48:56,12.6261111111111,0.259004101473856,0.169956748844696,1,"2018_52",52,2018,11.0733334223429,2018-02-21,2,28.1766662597656,19.2866662343343,0,0,0.100000001490116
"10","2018-04-21 20:09:46 +1000",10,"Cophixalus australis","2018-04-21",1,"Stream or creek","Natural area","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-04-21 06:27:22,2018-04-21 18:03:57,11.6097222222222,2018-04-21 06:26:32,2018-04-21 18:03:18,11.6127777777778,0.282675182191676,0.178436106260344,1,"2018_111",111,2018,8.08000004291534,2018-04-21,4,24.8499994277954,18.625,0.100000001490116,0.650000005960464,2.17500001192093
"11","2018-04-28 21:43:19 +1000",18.9209995269775,"Cophixalus australis","2018-04-28",1,"No visible water bodies","Backyard/Suburbia","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-04-28 06:29:32,2018-04-28 17:59:51,11.5052777777778,2018-04-28 06:28:26,2018-04-28 17:59:02,11.51,0.959101147576509,0.435179635505525,1,"2018_118",118,2018,12.9425001144409,2018-04-28,4,24.9024996757507,13.3025000095367,0,0,14.9500000104308
