"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1","2017-11-14 11:04:05 +1100",10,"Crinia tasmaniensis","2017-11-14",1,"River","Rural","Waratah/Wynyard (M)","TAS",4426,-41.25,145.75,2017-11-14 05:51:30,2017-11-14 20:15:09,14.3941666666667,2017-11-14 05:51:01,2017-11-14 20:14:33,14.3922222222222,0.187788626005633,0.857332864507912,1,"2017_318",318,2017,19.7550001144409,2017-11-14,11,35.3924999237061,19.5699996948242,0,0,0.100000001490116
"2","2017-12-02 12:09:30 +1100",8,"Crinia tasmaniensis","2017-12-02",2,"Stream or creek","Natural area","West Coast (M)","TAS",4424,-42.25,145.75,2017-12-02 05:38:15,2017-12-02 20:39:03,15.0133333333333,2017-12-02 05:36:48,2017-12-02 20:38:46,15.0327777777778,0.959983585383187,0.435892452769581,1,"2017_336",336,2017,13.5299999713898,2017-12-02,12,18.8224997520447,11.7474999427795,2.19999992847443,13.424999833107,15.5499997735023
"3","2017-12-04 07:50:48 +1100",6,"Crinia tasmaniensis","2017-12-04",1,"Stream or creek","Natural area","Waratah/Wynyard (M)","TAS",4427,-40.75,145.75,2017-12-04 05:40:33,2017-12-04 20:36:52,14.9386111111111,2017-12-04 05:41:06,2017-12-04 20:36:02,14.9155555555556,0.997123759213139,0.5170793428545,1,"2017_338",338,2017,11.9724998474121,2017-12-04,12,20.2475004196167,11.5900001525879,0.600000008940697,6.05000002682209,21.67500003241
"4","2017-12-06 21:13:18 +1100",12,"Crinia tasmaniensis","2017-12-06",2,"Small pond","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2017-12-06 05:35:44,2017-12-06 20:40:21,15.0769444444444,2017-12-06 05:35:32,2017-12-06 20:39:13,15.0613888888889,0.926533108901171,0.587370136113618,1,"2017_340",340,2017,13.2883334159851,2017-12-06,12,28.2749999364217,15.6733334859212,2.46666665871938,5.55000001440446,78.6833334155381
"5","2017-12-06 21:09:29 +1100",24,"Crinia tasmaniensis","2017-12-06",1,"Small pond","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2017-12-06 05:35:44,2017-12-06 20:40:22,15.0772222222222,2017-12-06 05:35:32,2017-12-06 20:39:13,15.0613888888889,0.926533108901171,0.587370136113618,1,"2017_340",340,2017,13.2883334159851,2017-12-06,12,28.2749999364217,15.6733334859212,2.46666665871938,5.55000001440446,78.6833334155381
"6","2017-12-06 21:06:30 +1100",24,"Crinia tasmaniensis","2017-12-06",1,"Small pond","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2017-12-06 05:35:44,2017-12-06 20:40:21,15.0769444444444,2017-12-06 05:35:32,2017-12-06 20:39:13,15.0613888888889,0.926533108901171,0.587370136113618,1,"2017_340",340,2017,13.2883334159851,2017-12-06,12,28.2749999364217,15.6733334859212,2.46666665871938,5.55000001440446,78.6833334155381
"7","2017-12-09 15:45:58 +1100",8,"Crinia tasmaniensis","2017-12-09",1,"None selected","None selected","Sorell (M)","TAS",4695,-42.75,147.75,2017-12-09 05:25:26,2017-12-09 20:38:50,15.2233333333333,2017-12-09 05:25:51,2017-12-09 20:39:27,15.2266666666667,0.659609585102274,0.698289693920849,1,"2017_343",343,2017,9.56999969482422,2017-12-09,12,24.5150003433228,13.9150004386902,0,0,52.9999995529652
"8","2017-12-09 15:48:12 +1100",9,"Crinia tasmaniensis","2017-12-09",1,"None selected","None selected","Sorell (M)","TAS",4695,-42.75,147.75,2017-12-09 05:25:26,2017-12-09 20:38:50,15.2233333333333,2017-12-09 05:25:51,2017-12-09 20:39:27,15.2266666666667,0.659609585102274,0.698289693920849,1,"2017_343",343,2017,9.56999969482422,2017-12-09,12,24.5150003433228,13.9150004386902,0,0,52.9999995529652
"9","2017-12-07 15:21:39 +1100",24.2719993591309,"Crinia tasmaniensis","2017-12-07",1,"Stream or creek","Rural","Kentish (M)","TAS",4425,-41.75,145.75,2017-12-07 05:36:59,2017-12-07 20:41:00,15.0669444444444,2017-12-07 05:37:24,2017-12-07 20:42:10,15.0794444444444,0.854398103801167,0.624619289752016,1,"2017_341",341,2017,10.6933334668477,2017-12-07,12,19.835000038147,11.8533331553141,0,0.0833333345751015,17.3833334458371
"10","2017-12-25 07:08:28 +0800",5,"Crinia tasmaniensis","2017-12-25",1,"Small pond","Natural area","Kentish (M)","TAS",4425,-41.75,145.75,2017-12-25 05:41:46,2017-12-25 20:53:05,15.1886111111111,2017-12-25 05:41:56,2017-12-25 20:54:19,15.2063888888889,0.372371156702255,0.20891984771223,1,"2017_359",359,2017,11.9649999936422,2017-12-25,12,23.5533336003621,12.1433332761129,0,0,5.65000000596046
"11","2017-12-31 09:26:39 +1100",3.90000009536743,"Crinia tasmaniensis","2017-12-31",1,"No visible water bodies","Natural area","Glamorgan/Spring Bay (M)","TAS",4764,-42.25,148.25,2017-12-31 05:34:33,2017-12-31 20:47:02,15.2080555555556,2017-12-31 05:34:23,2017-12-31 20:47:34,15.2197222222222,0.939441580961767,0.42085536668512,1,"2017_365",365,2017,14.0633333524068,2017-12-31,12,23.8966668446859,13.318333307902,0,0,0
"12","2018-02-11 13:19:56 +1100",9.10200023651123,"Crinia tasmaniensis","2018-02-11",1,"Stream or creek","Natural area","Northern Midlands (M)","TAS",4697,-41.75,147.75,2018-02-11 06:28:37,2018-02-11 20:21:28,13.8808333333333,2018-02-11 06:27:45,2018-02-11 20:21:29,13.8955555555556,0.205231245839862,0.85034498681908,1,"2018_42",42,2018,16.2720001220703,2018-02-11,2,28.0760005950928,16.1660003662109,4.94000015258789,11.120000076294,13.440000064671
"13","2017-11-28 16:53:20 +1100",6,"Crinia tasmaniensis","2017-11-28",1,"Small pond","Natural area","Derwent Valley (M)","TAS",4559,-42.75,146.75,2017-11-28 05:33:44,2017-11-28 20:32:24,14.9777777777778,2017-11-28 05:32:47,2017-11-28 20:31:55,14.9855555555556,0.643964601726627,0.296483391654063,1,"2017_332",332,2017,14.2849998474121,2017-11-28,11,25.7950000762939,9.40499973297119,0.0750000011175871,4.49999995343387,7.34999991767108
"14","2017-12-12 20:07:30 +1100",5,"Crinia tasmaniensis","2017-12-12",1,"Large pond","Rural","Circular Head (M)","TAS",4359,-40.75,145.25,2017-12-12 05:41:25,2017-12-12 20:44:49,15.0566666666667,2017-12-12 05:42:45,2017-12-12 20:45:13,15.0411111111111,0.334974502241553,0.803532974277496,1,"2017_346",346,2017,14.9950001239777,2017-12-12,12,27.7824997901917,18.1275000572205,0.175000004470348,0.175000004470348,42.7249999921769
"15","2018-04-15 20:50:25 +1000",10,"Crinia tasmaniensis","2018-04-15",3,"Flooded area","Natural area","Circular Head (M)","TAS",4290,-41.25,144.75,2018-04-15 06:51:09,2018-04-15 17:52:06,11.0158333333333,2018-04-15 06:51:49,2018-04-15 17:52:41,11.0144444444444,0.0167330809175895,0.958708870386864,1,"2018_105",105,2018,10.8624999523163,2018-04-15,4,23.2849998474121,16.8625001907349,2.47500002384186,2.47500002384186,2.47500002384186
"16","2018-02-20 12:05:49 +1100",5,"Crinia tasmaniensis","2018-02-20",2,"Stream or creek","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2018-02-20 06:45:55,2018-02-20 20:16:08,13.5036111111111,2018-02-20 06:45:19,2018-02-20 20:15:11,13.4977777777778,0.169040963339834,0.134871331848215,1,"2018_51",51,2018,17.375,2018-02-20,2,33.4699993133545,11.8266665140788,0,0.0333333338300292,0.100000001490116
"17","2017-12-12 14:18:31 +1100",10,"Crinia tasmaniensis","2017-12-12",1,"Large pond","None selected","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2017-12-12 05:37:42,2017-12-12 20:42:52,15.0861111111111,2017-12-12 05:37:05,2017-12-12 20:42:52,15.0963888888889,0.334974502241553,0.803532974277496,1,"2017_346",346,2017,13.0150001049042,2017-12-12,12,35.0475015640259,16.1575000286102,0,0,23.4250002484769
"18","2017-12-17 14:08:25 +1100",5,"Crinia tasmaniensis","2017-12-17",2,"None selected","None selected","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2017-12-17 05:39:12,2017-12-17 20:46:54,15.1283333333333,2017-12-17 05:38:05,2017-12-17 20:46:30,15.1402777777778,0.0153082005333505,0.960515511562598,1,"2017_351",351,2017,19.3000001907349,2017-12-17,12,37.6974992752075,22.5474996566772,0,0,1.42499998211861
"19","2018-07-07 12:07:44 +1000",63.693000793457,"Crinia tasmaniensis","2018-07-07",2,"Stream or creek","Other","Break O'Day (M)","TAS",4766,-41.25,148.25,2018-07-07 07:33:50,2018-07-07 16:51:59,9.3025,2018-07-07 07:33:35,2018-07-07 16:52:15,9.31111111111111,0.417376631468187,0.776421022837565,1,"2018_188",188,2018,10.7366666793823,2018-07-07,7,16.193333307902,10.2999998728434,0.0500000007450581,24.6499997464319,52.2833329948286
"20","2018-08-03 09:45:03 +1000",10,"Crinia tasmaniensis","2018-08-03",1,"Small pond","Natural area","Circular Head (M)","TAS",4359,-40.75,145.25,2018-08-03 07:24:56,2018-08-03 17:26:45,10.0302777777778,2018-08-03 07:25:15,2018-08-03 17:27:41,10.0405555555556,0.674099400208312,0.693396707743637,1,"2018_215",215,2018,1.14750000834465,2018-08-03,8,17.9100003242493,6.57249999046326,0,0.700000002980232,4.74999999254942
"21","2018-08-05 17:47:57 +1000",5,"Crinia tasmaniensis","2018-08-05",2,"Large pond","Backyard/Suburbia","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2018-08-05 07:20:15,2018-08-05 17:25:01,10.0794444444444,2018-08-05 07:20:08,2018-08-05 17:24:31,10.0730555555556,0.461318087978486,0.762325150595571,1,"2018_217",217,2018,5.3400000333786,2018-08-05,8,18.5950002670288,7.70249998569489,0,3.125,5.22500002011657
"22","2018-08-05 17:51:31 +1000",5,"Crinia tasmaniensis","2018-08-05",3,"Large pond","Backyard/Suburbia","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2018-08-05 07:20:15,2018-08-05 17:25:01,10.0794444444444,2018-08-05 07:20:08,2018-08-05 17:24:31,10.0730555555556,0.461318087978486,0.762325150595571,1,"2018_217",217,2018,5.3400000333786,2018-08-05,8,18.5950002670288,7.70249998569489,0,3.125,5.22500002011657
"23","2018-08-05 17:54:01 +1000",5,"Crinia tasmaniensis","2018-08-05",4,"Large pond","Backyard/Suburbia","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2018-08-05 07:20:15,2018-08-05 17:25:01,10.0794444444444,2018-08-05 07:20:08,2018-08-05 17:24:31,10.0730555555556,0.461318087978486,0.762325150595571,1,"2018_217",217,2018,5.3400000333786,2018-08-05,8,18.5950002670288,7.70249998569489,0,3.125,5.22500002011657
"24","2018-08-07 09:35:33 +1000",60.609001159668,"Crinia tasmaniensis","2018-08-07",1,"Stream or creek","Natural area","Circular Head (M)","TAS",4359,-40.75,145.25,2018-08-07 07:20:27,2018-08-07 17:30:30,10.1675,2018-08-07 07:20:46,2018-08-07 17:31:30,10.1788888888889,0.246173070995592,0.83474355661345,1,"2018_219",219,2018,3.9825000166893,2018-08-07,8,10.7674999237061,5.3325001001358,0.600000008940697,1.70000002160668,10.2249999530613
"25","2018-08-23 15:55:18 +1000",10,"Crinia tasmaniensis","2018-08-23",1,"Stream or creek","Rural","Dorset (M)","TAS",4698,-41.25,147.75,2018-08-23 06:51:02,2018-08-23 17:37:24,10.7727777777778,2018-08-23 06:50:12,2018-08-23 17:36:21,10.7691666666667,0.89224772591892,0.393538993831178,1,"2018_235",235,2018,-1.66199998855591,2018-08-23,8,11.9339998245239,9.83400001525879,0,0,0.840000003576279
"26","2018-08-04 13:44:13 +1000",14.1560001373291,"Crinia tasmaniensis","2018-08-04",1,"Flooded area","Natural area","Derwent Valley (M)","TAS",4559,-42.75,146.75,2018-08-04 07:23:22,2018-08-04 17:18:30,9.91888888888889,2018-08-04 07:22:41,2018-08-04 17:18:08,9.92416666666667,0.570748607785779,0.727404186319164,1,"2018_216",216,2018,5.85500001907349,2018-08-04,8,10.4849998950958,7.75750005245209,5.77499997615814,13.9249999299645,26.5999999269843
