"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1","2017-12-23 21:10:42 +1100",455.209991455078,"Litoria barringtonensis","2017-12-23",1,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017,14.3225002288818,2017-12-23,12,32.9049997329712,16.0349998474121,1.30000001192093,3.44999998062849,3.64999998360872
"2","2017-12-23 21:12:47 +1100",675.942016601562,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017,14.3225002288818,2017-12-23,12,32.9049997329712,16.0349998474121,1.30000001192093,3.44999998062849,3.64999998360872
"3","2017-12-23 21:14:36 +1100",2600,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:05,2017-12-23 19:51:10,14.1013888888889,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017,14.3225002288818,2017-12-23,12,32.9049997329712,16.0349998474121,1.30000001192093,3.44999998062849,3.64999998360872
"4","2017-12-23 22:45:43 +1100",4,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017,14.3225002288818,2017-12-23,12,32.9049997329712,16.0349998474121,1.30000001192093,3.44999998062849,3.64999998360872
"5","2017-12-23 22:47:23 +1100",4,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017,14.3225002288818,2017-12-23,12,32.9049997329712,16.0349998474121,1.30000001192093,3.44999998062849,3.64999998360872
"6","2017-12-23 22:49:00 +1100",4,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017,14.3225002288818,2017-12-23,12,32.9049997329712,16.0349998474121,1.30000001192093,3.44999998062849,3.64999998360872
"7","2017-12-26 20:32:13 +1100",4,"Litoria barringtonensis","2017-12-26",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017,12.9349999427795,2017-12-26,12,20.9474997520447,17.3550004959106,0.150000002235174,0.450000006705523,4.07499998994172
"8","2017-12-26 20:46:16 +1100",4,"Litoria barringtonensis","2017-12-26",2,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017,12.9349999427795,2017-12-26,12,20.9474997520447,17.3550004959106,0.150000002235174,0.450000006705523,4.07499998994172
"9","2017-12-26 20:48:35 +1100",4,"Litoria barringtonensis","2017-12-26",2,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017,12.9349999427795,2017-12-26,12,20.9474997520447,17.3550004959106,0.150000002235174,0.450000006705523,4.07499998994172
"10","2017-12-26 20:58:07 +1100",4,"Litoria barringtonensis","2017-12-26",2,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017,12.9349999427795,2017-12-26,12,20.9474997520447,17.3550004959106,0.150000002235174,0.450000006705523,4.07499998994172
"11","2017-12-27 01:35:27 +1100",4,"Litoria barringtonensis","2017-12-27",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-27 05:47:12,2017-12-27 19:52:50,14.0938888888889,2017-12-27 05:46:26,2017-12-27 19:51:44,14.0883333333333,0.583300174823354,0.276639485179085,1,"2017_361",361,2017,15.2625000476837,2017-12-27,12,27.3775000572205,17.3700003623962,0.450000010430813,0.900000017136335,4.47499999962747
"12","2017-12-27 21:52:24 +1100",565.273010253906,"Litoria barringtonensis","2017-12-27",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-27 05:47:12,2017-12-27 19:52:50,14.0938888888889,2017-12-27 05:46:26,2017-12-27 19:51:44,14.0883333333333,0.583300174823354,0.276639485179085,1,"2017_361",361,2017,15.2625000476837,2017-12-27,12,27.3775000572205,17.3700003623962,0.450000010430813,0.900000017136335,4.47499999962747
"13","2017-12-27 22:04:26 +1100",6,"Litoria barringtonensis","2017-12-27",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-27 05:47:12,2017-12-27 19:52:50,14.0938888888889,2017-12-27 05:46:26,2017-12-27 19:51:44,14.0883333333333,0.583300174823354,0.276639485179085,1,"2017_361",361,2017,15.2625000476837,2017-12-27,12,27.3775000572205,17.3700003623962,0.450000010430813,0.900000017136335,4.47499999962747
"14","2017-12-27 22:05:21 +1100",3.90000009536743,"Litoria barringtonensis","2017-12-27",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-27 05:47:12,2017-12-27 19:52:50,14.0938888888889,2017-12-27 05:46:26,2017-12-27 19:51:44,14.0883333333333,0.583300174823354,0.276639485179085,1,"2017_361",361,2017,15.2625000476837,2017-12-27,12,27.3775000572205,17.3700003623962,0.450000010430813,0.900000017136335,4.47499999962747
"15","2017-12-28 21:20:00 +1100",2610,"Litoria barringtonensis","2017-12-28",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-28 05:47:53,2017-12-28 19:53:10,14.0880555555556,2017-12-28 05:47:02,2017-12-28 19:52:04,14.0838888888889,0.689039743006074,0.311707700647358,1,"2017_362",362,2017,14.2950000762939,2017-12-28,12,32.9925003051758,17.5574998855591,0,0.600000012665987,4.47499999962747
"16","2017-12-28 21:34:35 +1100",12.1929998397827,"Litoria barringtonensis","2017-12-28",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-28 05:47:48,2017-12-28 19:53:11,14.0897222222222,2017-12-28 05:47:02,2017-12-28 19:52:04,14.0838888888889,0.689039743006074,0.311707700647358,1,"2017_362",362,2017,14.2950000762939,2017-12-28,12,32.9925003051758,17.5574998855591,0,0.600000012665987,4.47499999962747
"17","2017-12-28 21:37:35 +1100",144.063003540039,"Litoria barringtonensis","2017-12-28",2,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-28 05:47:48,2017-12-28 19:53:11,14.0897222222222,2017-12-28 05:47:02,2017-12-28 19:52:04,14.0838888888889,0.689039743006074,0.311707700647358,1,"2017_362",362,2017,14.2950000762939,2017-12-28,12,32.9925003051758,17.5574998855591,0,0.600000012665987,4.47499999962747
"18","2018-01-02 22:02:40 +1100",5,"Litoria barringtonensis","2018-01-02",2,"Stream or creek","Natural area","Port Macquarie-Hastings (A)","NSW",5397,-31.75,152.75,2018-01-02 05:49:10,2018-01-02 19:59:10,14.1666666666667,2018-01-02 05:48:41,2018-01-02 19:59:06,14.1736111111111,0.999182735553779,0.490898968791088,1,"2018_2",2,2018,12.7549996376038,2018-01-02,1,28.0900001525879,12.4699997901917,0,0,0.100000001490116
"19","2018-02-15 22:44:34 +1100",6,"Litoria barringtonensis","2018-02-15",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2018-02-15 06:28:52,2018-02-15 19:38:11,13.1552777777778,2018-02-15 06:28:01,2018-02-15 19:37:09,13.1522222222222,0.00827762974720575,0.970999592036574,1,"2018_46",46,2018,12.6850001811981,2018-02-15,2,31.4349999427795,11.2699999809265,0,0,9.10000014305115
