"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1","2018-02-04 19:38:40 +1000",7.58500003814697,"Uperoleia altissima","2018-02-04",4,"None selected","None selected","Mareeba (S)","QLD",4406,-17.25,145.25,2018-02-04 07:09:16,2018-02-04 19:57:48,12.8088888888889,2018-02-04 07:09:34,2018-02-04 19:58:44,12.8194444444444,0.848692278136673,0.627173496067765,1,"2018_35",35,2018,18.75,2018-02-04,2,34.8066660563151,18.8299999237061,0,0,0.166666669150189
"2","2018-02-04 19:36:57 +1000",12.1359996795654,"Uperoleia altissima","2018-02-04",4,"None selected","None selected","Mareeba (S)","QLD",4406,-17.25,145.25,2018-02-04 07:09:16,2018-02-04 19:57:48,12.8088888888889,2018-02-04 07:09:34,2018-02-04 19:58:44,12.8194444444444,0.848692278136673,0.627173496067765,1,"2018_35",35,2018,18.75,2018-02-04,2,34.8066660563151,18.8299999237061,0,0,0.166666669150189
"3","2018-02-05 21:02:59 +1000",10.6190004348755,"Uperoleia altissima","2018-02-05",5,"None selected","None selected","Mareeba (S)","QLD",4406,-17.25,145.25,2018-02-05 07:09:47,2018-02-05 19:57:30,12.7952777777778,2018-02-05 07:10:05,2018-02-05 19:58:26,12.8058333333333,0.763956186218351,0.661487470938553,1,"2018_36",36,2018,17.4066664377848,2018-02-05,2,30.363333384196,19.8666667938232,0.666666686534882,0.666666686534882,0.83333335568507
"4","2018-02-26 21:19:23 +1000",10,"Uperoleia altissima","2018-02-26",3,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-02-26 07:19:17,2018-02-26 19:47:46,12.4747222222222,2018-02-26 07:19:09,2018-02-26 19:47:48,12.4775,0.805844643125283,0.354754860672503,1,"2018_57",57,2018,15.9699999491374,2018-02-26,2,26.5033334096273,10.2233333587646,1.36666667461395,5.23333338896433,27.4666668176651
"5","2018-02-26 21:12:45 +1000",10,"Uperoleia altissima","2018-02-26",3,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-02-26 07:19:17,2018-02-26 19:47:46,12.4747222222222,2018-02-26 07:19:09,2018-02-26 19:47:48,12.4775,0.805844643125283,0.354754860672503,1,"2018_57",57,2018,15.9699999491374,2018-02-26,2,26.5033334096273,10.2233333587646,1.36666667461395,5.23333338896433,27.4666668176651
"6","2018-03-21 22:40:16 +1000",10,"Uperoleia altissima","2018-03-21",2,"Stream or creek","Natural area","Mareeba (S)","QLD",4474,-17.25,145.75,2018-03-21 07:22:55,2018-03-21 19:29:47,12.1144444444444,2018-03-21 07:22:12,2018-03-21 19:29:04,12.1144444444444,0.131448362597858,0.118096555166159,1,"2018_80",80,2018,10.5325000286102,2018-03-21,3,29.9275002479553,10.6799998283386,0,0,0.125000001862645
"7","2018-02-09 19:52:34 +1000",6,"Uperoleia altissima","2018-02-09",2,"Stream or creek","Natural area","Mareeba (S)","QLD",4474,-17.25,145.75,2018-02-09 07:11:05,2018-02-09 19:55:27,12.7394444444444,2018-02-09 07:10:04,2018-02-09 19:55:02,12.7494444444444,0.376064367263848,0.789865500892208,1,"2018_40",40,2018,21.2925000190735,2018-02-09,2,34.1999998092651,14.7949998378754,0,0,3.05000001192093
"8","2017-11-28 20:43:34 +1000",32,"Uperoleia altissima","2017-11-28",3,"Large pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2017-11-28 06:35:54,2017-11-28 19:39:03,13.0525,2017-11-28 06:36:49,2017-11-28 19:39:53,13.0511111111111,0.643964601726627,0.296483391654063,1,"2017_332",332,2017,15.7266667683919,2017-11-28,11,22.1966667175293,10.0499998728434,0,5.96666661898295,6.8666666423281
"9","2017-12-04 20:56:45 +1000",32,"Uperoleia altissima","2017-12-04",3,"Large pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2017-12-04 06:36:43,2017-12-04 19:42:40,13.0991666666667,2017-12-04 06:37:38,2017-12-04 19:43:30,13.0977777777778,0.997123759213139,0.5170793428545,1,"2017_338",338,2017,15.2166668574015,2017-12-04,12,23.740000406901,17.1733334859212,0.100000001490116,0.200000002980232,7.99999996523063
"10","2018-12-05 20:19:46 +1000",65,"Uperoleia altissima","2018-12-05",4,"Small pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2018-12-05 06:36:52,2018-12-05 19:43:06,13.1038888888889,2018-12-05 06:37:47,2018-12-05 19:43:56,13.1025,0.0527259419059801,0.926251237827872,1,"2018_339",339,2018,11.8800001144409,2018-12-05,12,24.7099997202555,13.6633332570394,0,0,1.83333329608041
"11","2018-12-09 21:15:33 +1000",16.0024165473618,"Uperoleia altissima","2018-12-09",4,"Small pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2018-12-09 06:37:50,2018-12-09 19:45:29,13.1275,2018-12-09 06:38:46,2018-12-09 19:46:18,13.1255555555556,0.0320589980808007,0.0573024746349566,1,"2018_343",343,2018,14.9500001271566,2018-12-09,12,25.9333337148031,15.0366665522257,0,0.833333330849825,1.2666666681568
"12","2018-12-10 18:42:30 +1000",24.0036248210426,"Uperoleia altissima","2018-12-10",4,"Small pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2018-12-10 06:38:07,2018-12-10 19:46:04,13.1325,2018-12-10 06:39:03,2018-12-10 19:46:53,13.1305555555556,0.0738507640338677,0.087604025272321,1,"2018_344",344,2018,14.0899998346965,2018-12-10,12,34.1166674296061,15.1599998474121,0.166666669150194,0.266666670640291,1.43333333730698
"13","2018-12-10 19:23:22 +1000",5,"Uperoleia altissima","2018-12-10",3,"Stream or creek","Natural area","Tablelands (R)","QLD",4405,-17.75,145.25,2018-12-10 06:37:27,2018-12-10 19:46:47,13.1555555555556,2018-12-10 06:38:06,2018-12-10 19:47:50,13.1622222222222,0.0738507640338677,0.087604025272321,1,"2018_344",344,2018,13.9000000953674,2018-12-10,12,34.147500038147,14.9624998569489,0.200000002980232,0.300000004470348,1.69999999552965
"14","2018-12-10 19:25:53 +1000",5,"Uperoleia altissima","2018-12-10",2,"No visible water bodies","Natural area","Tablelands (R)","QLD",4405,-17.75,145.25,2018-12-10 06:37:27,2018-12-10 19:46:47,13.1555555555556,2018-12-10 06:38:06,2018-12-10 19:47:50,13.1622222222222,0.0738507640338677,0.087604025272321,1,"2018_344",344,2018,13.9000000953674,2018-12-10,12,34.147500038147,14.9624998569489,0.200000002980232,0.300000004470348,1.69999999552965
"15","2018-12-10 19:30:25 +1000",5,"Uperoleia altissima","2018-12-10",3,"Small pond","Natural area","Tablelands (R)","QLD",4405,-17.75,145.25,2018-12-10 06:37:27,2018-12-10 19:46:47,13.1555555555556,2018-12-10 06:38:06,2018-12-10 19:47:50,13.1622222222222,0.0738507640338677,0.087604025272321,1,"2018_344",344,2018,13.9000000953674,2018-12-10,12,34.147500038147,14.9624998569489,0.200000002980232,0.300000004470348,1.69999999552965
