"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2017-12-30 21:20:26 +1000",6,"Austrochaperina fryi","2017-12-30",2,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-30 06:49:17,2017-12-30 19:55:34,13.1047222222222,2017-12-30 06:49:04,2017-12-30 19:55:57,13.1147222222222,0.872861429761021,0.383947846414613,1,"2017_364",364,2017
"2","2017-12-30 21:21:55 +1000",4,"Austrochaperina fryi","2017-12-30",1,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-30 06:49:17,2017-12-30 19:55:34,13.1047222222222,2017-12-30 06:49:04,2017-12-30 19:55:57,13.1147222222222,0.872861429761021,0.383947846414613,1,"2017_364",364,2017
"3","2018-01-07 18:53:31 +1000",6,"Austrochaperina fryi","2018-01-07",1,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-07 06:53:58,2018-01-07 19:58:05,13.0686111111111,2018-01-07 06:53:47,2018-01-07 19:58:28,13.0780555555556,0.710989850429822,0.680667673580828,1,"2018_7",7,2018
"4","2018-01-07 18:41:50 +1000",48,"Austrochaperina fryi","2018-01-07",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-07 06:53:58,2018-01-07 19:58:05,13.0686111111111,2018-01-07 06:53:47,2018-01-07 19:58:28,13.0780555555556,0.710989850429822,0.680667673580828,1,"2018_7",7,2018
"5","2018-01-07 18:55:25 +1000",24,"Austrochaperina fryi","2018-01-07",1,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-07 06:53:58,2018-01-07 19:58:05,13.0686111111111,2018-01-07 06:53:47,2018-01-07 19:58:28,13.0780555555556,0.710989850429822,0.680667673580828,1,"2018_7",7,2018
"6","2018-01-07 18:51:27 +1000",6,"Austrochaperina fryi","2018-01-07",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-07 06:53:58,2018-01-07 19:58:05,13.0686111111111,2018-01-07 06:53:47,2018-01-07 19:58:28,13.0780555555556,0.710989850429822,0.680667673580828,1,"2018_7",7,2018
"7","2018-01-07 18:49:38 +1000",6,"Austrochaperina fryi","2018-01-07",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-07 06:53:58,2018-01-07 19:58:05,13.0686111111111,2018-01-07 06:53:47,2018-01-07 19:58:28,13.0780555555556,0.710989850429822,0.680667673580828,1,"2018_7",7,2018
"8","2018-01-20 20:26:28 +1000",1051.92004394531,"Austrochaperina fryi","2018-01-20",2,"No visible water bodies","Natural area","Cairns (R)","QLD",4475,-16.75,145.75,2018-01-20 06:59:36,2018-01-20 19:58:44,12.9855555555556,2018-01-20 06:59:46,2018-01-20 19:58:09,12.9730555555556,0.0762405399733999,0.089047693867649,1,"2018_20",20,2018
"9","2018-01-20 20:25:19 +1000",944.067993164062,"Austrochaperina fryi","2018-01-20",2,"None selected","None selected","Cairns (R)","QLD",4475,-16.75,145.75,2018-01-20 06:59:36,2018-01-20 19:58:44,12.9855555555556,2018-01-20 06:59:46,2018-01-20 19:58:09,12.9730555555556,0.0762405399733999,0.089047693867649,1,"2018_20",20,2018
"10","2018-02-27 21:55:06 +1000",64,"Austrochaperina fryi","2018-02-27",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-02-27 07:19:17,2018-02-27 19:46:46,12.4580555555556,2018-02-27 07:19:27,2018-02-27 19:47:10,12.4619444444444,0.890182972253918,0.392483592101462,1,"2018_58",58,2018
"11","2018-05-28 17:52:53 +1000",32,"Austrochaperina fryi","2018-05-28",1,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-05-28 06:39:11,2018-05-28 17:54:38,11.2575,2018-05-28 06:40:08,2018-05-28 17:55:12,11.2511111111111,0.976341949245502,0.450845069643783,1,"2018_148",148,2018
"12","2018-07-18 20:17:22 +1000",850.218994140625,"Austrochaperina fryi","2018-07-18",1,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-07-18 06:48:16,2018-07-18 18:03:20,11.2511111111111,2018-07-18 06:48:22,2018-07-18 18:04:10,11.2633333333333,0.296005422740064,0.183115058119914,1,"2018_199",199,2018
"13","2018-07-18 20:28:45 +1000",10,"Austrochaperina fryi","2018-07-18",1,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-07-18 06:48:25,2018-07-18 18:03:28,11.2508333333333,2018-07-18 06:48:22,2018-07-18 18:04:10,11.2633333333333,0.296005422740064,0.183115058119914,1,"2018_199",199,2018
"14","2018-10-05 23:50:03 +1000",128,"Austrochaperina fryi","2018-10-05",1,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-10-05 05:59:47,2018-10-05 18:17:34,12.2963888888889,2018-10-05 05:59:48,2018-10-05 18:17:45,12.2991666666667,0.20649797088562,0.849846372406344,1,"2018_278",278,2018
"15","2018-10-06 00:08:38 +1000",64,"Austrochaperina fryi","2018-10-06",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-10-06 05:59:02,2018-10-06 18:17:44,12.3116666666667,2018-10-06 05:59:01,2018-10-06 18:17:55,12.315,0.119887421116161,0.887455698116037,1,"2018_279",279,2018
"16","2018-12-23 23:39:00 +1000",25,"Austrochaperina fryi","2018-12-24",1,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-12-24 06:45:50,2018-12-24 19:51:56,13.1016666666667,2018-12-24 06:46:41,2018-12-24 19:52:22,13.0947222222222,0.980560625868034,0.544525465994863,1,"2018_358",358,2018
"17","2018-12-23 23:44:11 +1000",6.79500007629395,"Austrochaperina fryi","2018-12-24",1,"No visible water bodies","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-12-24 06:45:50,2018-12-24 19:51:56,13.1016666666667,2018-12-24 06:46:41,2018-12-24 19:52:22,13.0947222222222,0.980560625868034,0.544525465994863,1,"2018_358",358,2018
"18","2019-04-21 23:18:29 +1000",393.399322431481,"Austrochaperina fryi","2019-04-21",1,"Flooded area","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2019-04-21 06:28:32,2019-04-21 18:08:11,11.6608333333333,2019-04-21 06:29:09,2019-04-21 18:08:47,11.6605555555556,0.964929210498064,0.559964566218451,1,"2019_111",111,2019
