"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2018-01-10 00:21:56 +1000",24,"Cophixalus aenigma","2018-01-10",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-10 06:55:49,2018-01-10 19:58:46,13.0491666666667,2018-01-10 06:55:37,2018-01-10 19:59:08,13.0586111111111,0.400124858965443,0.782006546089156,1,"2018_10",10,2018
"2","2018-07-20 17:41:57 +1000",10,"Cophixalus aenigma","2018-07-20",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-07-20 06:48:23,2018-07-20 18:04:17,11.265,2018-07-20 06:48:52,2018-07-20 18:03:58,11.2516666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"3","2018-10-21 21:56:55 +1000",7.30000019073486,"Cophixalus aenigma","2018-10-21",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-10-21 06:48:37,2018-10-21 19:20:57,12.5388888888889,2018-10-21 06:48:30,2018-10-21 19:21:13,12.5452777777778,0.859867522752949,0.377868360099654,1,"2018_294",294,2018
"4","2018-07-24 18:48:05 +1000",5,"Cophixalus aenigma","2018-07-24",1,"Stream or creek","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-07-24 06:46:36,2018-07-24 18:05:40,11.3177777777778,2018-07-24 06:47:13,2018-07-24 18:06:01,11.3133333333333,0.871949877426019,0.383513008476255,1,"2018_205",205,2018
"5","2019-10-30 18:45:28 +1000",64,"Cophixalus aenigma","2019-10-30",1,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2019-10-30 06:43:48,2019-10-30 19:23:52,12.6677777777778,2019-10-30 06:43:42,2019-10-30 19:24:07,12.6736111111111,0.0478634977853352,0.0702068158888495,1,"2019_303",303,2019
"6","2019-10-11 21:38:45 +1000",20.5270004272461,"Cophixalus aenigma","2019-10-11",1,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2019-10-11 06:55:28,2019-10-11 19:18:35,12.3852777777778,2019-10-11 06:55:27,2019-10-11 19:18:45,12.3883333333333,0.923642579123329,0.410882235079601,1,"2019_284",284,2019
"7","2020-09-30 11:39:00 +1000",10.2239999771118,"Cophixalus aenigma","2020-09-30",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2020-09-30 06:03:22,2020-09-30 18:16:58,12.2266666666667,2020-09-30 06:03:24,2020-09-30 18:17:07,12.2286111111111,0.968090905331755,0.442833114216689,1,"2020_274",274,2020
"8","2017-12-30 21:20:26 +1000",6,"Cophixalus aenigma","2017-12-30",2,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-30 06:49:17,2017-12-30 19:55:34,13.1047222222222,2017-12-30 06:49:04,2017-12-30 19:55:57,13.1147222222222,0.872861429761021,0.383947846414613,1,"2017_364",364,2017
"9","2018-02-27 19:52:08 +1000",37.0909996032715,"Cophixalus aenigma","2018-02-27",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-02-27 07:19:24,2018-02-27 19:46:54,12.4583333333333,2018-02-27 07:19:27,2018-02-27 19:47:10,12.4619444444444,0.890182972253918,0.392483592101462,1,"2018_58",58,2018
"10","2018-03-05 19:22:14 +1000",96,"Cophixalus aenigma","2018-03-05",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-03-05 07:20:58,2018-03-05 19:42:53,12.3652777777778,2018-03-05 07:21:03,2018-03-05 19:43:08,12.3680555555556,0.888588717924495,0.60832537322296,1,"2018_64",64,2018
