"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2017-11-13 21:23:18 +1000",21.2859992980957,"Cophixalus ornatus","2017-11-13",1,"Large pond","Natural area","Tablelands (R)","QLD",4474,-17.25,145.75,2017-11-13 06:36:18,2017-11-13 19:29:50,12.8922222222222,2017-11-13 06:35:55,2017-11-13 19:29:20,12.8902777777778,0.279406972727676,0.822721057202942,1,"2017_317",317,2017
"2","2017-11-14 20:56:07 +1000",21.7310009002686,"Cophixalus ornatus","2017-11-14",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4474,-17.25,145.75,2017-11-14 06:36:05,2017-11-14 19:30:21,12.9044444444444,2017-11-14 06:35:42,2017-11-14 19:29:52,12.9027777777778,0.187788626005633,0.857332864507912,1,"2017_318",318,2017
"3","2017-11-21 20:00:52 +1000",18,"Cophixalus ornatus","2017-11-21",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4474,-17.25,145.75,2017-11-21 06:35:08,2017-11-21 19:34:15,12.9852777777778,2017-11-21 06:34:46,2017-11-21 19:33:45,12.9830555555556,0.0611013830777823,0.0795061776444052,1,"2017_325",325,2017
"4","2017-12-20 20:24:22 +1000",6,"Cophixalus ornatus","2017-12-20",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4474,-17.25,145.75,2017-12-20 06:41:54,2017-12-20 19:50:38,13.1455555555556,2017-12-20 06:40:57,2017-12-20 19:50:30,13.1591666666667,0.0275953212445056,0.0531233915501411,1,"2017_354",354,2017
"5","2017-12-15 23:20:30 +1000",15,"Cophixalus ornatus","2017-12-16",3,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-16 06:42:28,2017-12-16 19:48:53,13.1069444444444,2017-12-16 06:42:12,2017-12-16 19:49:27,13.1208333333333,0.0463365706797394,0.930940328272477,1,"2017_350",350,2017
"6","2017-12-15 23:16:26 +1000",8,"Cophixalus ornatus","2017-12-16",3,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-16 06:42:28,2017-12-16 19:48:53,13.1069444444444,2017-12-16 06:42:12,2017-12-16 19:49:27,13.1208333333333,0.0463365706797394,0.930940328272477,1,"2017_350",350,2017
"7","2017-12-31 00:04:15 +1000",96,"Cophixalus ornatus","2017-12-31",1,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-31 06:49:51,2017-12-31 19:55:56,13.1013888888889,2017-12-31 06:49:38,2017-12-31 19:56:19,13.1113888888889,0.939441580961767,0.42085536668512,1,"2017_365",365,2017
"8","2017-12-30 22:38:10 +1000",4,"Cophixalus ornatus","2017-12-30",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-30 06:49:19,2017-12-30 19:55:34,13.1041666666667,2017-12-30 06:49:04,2017-12-30 19:55:57,13.1147222222222,0.872861429761021,0.383947846414613,1,"2017_364",364,2017
"9","2017-12-30 20:57:08 +1000",12,"Cophixalus ornatus","2017-12-30",1,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-30 06:49:17,2017-12-30 19:55:33,13.1044444444444,2017-12-30 06:49:04,2017-12-30 19:55:57,13.1147222222222,0.872861429761021,0.383947846414613,1,"2017_364",364,2017
"10","2017-12-30 22:40:03 +1000",4,"Cophixalus ornatus","2017-12-30",1,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2017-12-30 06:49:19,2017-12-30 19:55:34,13.1041666666667,2017-12-30 06:49:04,2017-12-30 19:55:57,13.1147222222222,0.872861429761021,0.383947846414613,1,"2017_364",364,2017
