"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2018-06-08 05:49:40 +1000",5,"Crinia sloanei","2018-06-08",1,"Small pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-06-08 07:18:58,2018-06-08 17:05:53,9.78194444444444,2018-06-08 07:20:29,2018-06-08 17:06:15,9.76277777777778,0.368368953728511,0.792399198870632,1,"2018_159",159,2018
"2","2018-06-10 19:59:31 +1000",5,"Crinia sloanei","2018-06-10",2,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-06-10 07:19:57,2018-06-10 17:05:40,9.76194444444444,2018-06-10 07:21:28,2018-06-10 17:06:00,9.74222222222222,0.181973230876678,0.859717131384586,1,"2018_161",161,2018
"3","2018-06-20 17:34:40 +1000",1032.37361577221,"Crinia sloanei","2018-06-20",2,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-06-20 07:23:34,2018-06-20 17:06:01,9.7075,2018-06-20 07:25:06,2018-06-20 17:06:20,9.68722222222222,0.4414731547449,0.231327519465329,1,"2018_171",171,2018
"4","2018-06-20 18:03:27 +1000",5,"Crinia sloanei","2018-06-20",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-06-20 07:23:34,2018-06-20 17:05:59,9.70694444444444,2018-06-20 07:25:06,2018-06-20 17:06:20,9.68722222222222,0.4414731547449,0.231327519465329,1,"2018_171",171,2018
"5","2018-06-20 18:05:30 +1000",5,"Crinia sloanei","2018-06-20",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-06-20 07:23:34,2018-06-20 17:05:59,9.70694444444444,2018-06-20 07:25:06,2018-06-20 17:06:20,9.68722222222222,0.4414731547449,0.231327519465329,1,"2018_171",171,2018
"6","2018-06-20 18:09:10 +1000",5,"Crinia sloanei","2018-06-20",2,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-06-20 07:23:34,2018-06-20 17:05:59,9.70694444444444,2018-06-20 07:25:06,2018-06-20 17:06:20,9.68722222222222,0.4414731547449,0.231327519465329,1,"2018_171",171,2018
"7","2018-06-23 19:17:18 +1000",65,"Crinia sloanei","2018-06-23",2,"None selected","None selected","Albury (C)","NSW",4572,-36.25,146.75,2018-06-23 07:24:18,2018-06-23 17:06:32,9.70388888888889,2018-06-23 07:25:43,2018-06-23 17:06:56,9.68694444444444,0.758498375224271,0.336475039441966,1,"2018_174",174,2018
"8","2018-07-06 18:23:11 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Backyard/Suburbia","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"9","2018-07-06 18:31:16 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"10","2018-07-06 18:29:07 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Rural","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:04,2018-07-06 17:11:29,9.79027777777778,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"11","2018-07-06 18:36:45 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Rural","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:05,2018-07-06 17:11:30,9.79027777777778,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"12","2018-07-06 18:40:37 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"13","2018-07-06 19:01:50 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"14","2018-07-06 19:00:47 +1000",65,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"15","2018-07-06 19:02:43 +1000",87.5999984741211,"Crinia sloanei","2018-07-06",1,"Large pond","Rural","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"16","2018-07-06 19:01:23 +1000",65,"Crinia sloanei","2018-07-06",1,"Large pond","Backyard/Suburbia","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"17","2018-07-06 19:04:16 +1000",65,"Crinia sloanei","2018-07-06",1,"Large pond","Backyard/Suburbia","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"18","2018-07-06 19:04:16 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Backyard/Suburbia","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"19","2018-07-06 19:13:13 +1000",4,"Crinia sloanei","2018-07-06",1,"Large pond","Rural","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"20","2018-07-06 19:19:26 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"21","2018-07-06 19:22:09 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"22","2018-07-06 19:29:56 +1000",4,"Crinia sloanei","2018-07-06",1,"Large pond","Rural","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"23","2018-07-06 19:00:17 +1000",65,"Crinia sloanei","2018-07-06",1,"Large pond","Backyard/Suburbia","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"24","2018-07-07 19:48:52 +1000",5,"Crinia sloanei","2018-07-07",2,"Flooded area","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-07 07:23:56,2018-07-07 17:12:02,9.80166666666667,2018-07-07 07:25:26,2018-07-07 17:12:23,9.7825,0.417376631468187,0.776421022837565,1,"2018_188",188,2018
"25","2018-07-06 18:57:37 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
"26","2018-07-06 19:04:59 +1000",5,"Crinia sloanei","2018-07-06",1,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-07-06 07:24:08,2018-07-06 17:11:29,9.78916666666667,2018-07-06 07:25:38,2018-07-06 17:11:52,9.77055555555556,0.522702047597484,0.742771228637076,1,"2018_187",187,2018
