"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2018-06-17 17:20:13 +0800",5,"Crinia subinsignifera","2018-06-17",2,"None selected","None selected","Boyup Brook (S)","WA",496,-34.25,116.75,2018-06-17 09:19:25,2018-06-17 19:12:06,9.87805555555556,2018-06-17 09:18:59,2018-06-17 19:11:16,9.87138888888889,0.134239971408492,0.11940561770262,1,"2018_168",168,2018
"2","2018-07-20 17:02:52 +0800",5,"Crinia subinsignifera","2018-07-20",2,"None selected","None selected","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-20 09:16:11,2018-07-20 19:25:55,10.1622222222222,2018-07-20 09:15:43,2018-07-20 19:25:07,10.1566666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"3","2018-07-20 17:23:11 +0800",5,"Crinia subinsignifera","2018-07-20",1,"Large pond","Natural area","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-20 09:16:11,2018-07-20 19:25:55,10.1622222222222,2018-07-20 09:15:43,2018-07-20 19:25:07,10.1566666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"4","2018-07-20 17:13:50 +0800",5,"Crinia subinsignifera","2018-07-20",2,"Large pond","Natural area","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-20 09:16:11,2018-07-20 19:25:55,10.1622222222222,2018-07-20 09:15:43,2018-07-20 19:25:07,10.1566666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"5","2018-07-20 17:07:41 +0800",5,"Crinia subinsignifera","2018-07-20",2,"Large pond","Natural area","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-20 09:16:11,2018-07-20 19:25:55,10.1622222222222,2018-07-20 09:15:43,2018-07-20 19:25:07,10.1566666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"6","2018-07-20 17:01:30 +0800",5,"Crinia subinsignifera","2018-07-20",2,"None selected","None selected","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-20 09:16:11,2018-07-20 19:25:55,10.1622222222222,2018-07-20 09:15:43,2018-07-20 19:25:07,10.1566666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"7","2018-07-20 17:00:47 +0800",5,"Crinia subinsignifera","2018-07-20",2,"None selected","None selected","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-20 09:16:11,2018-07-20 19:25:55,10.1622222222222,2018-07-20 09:15:43,2018-07-20 19:25:07,10.1566666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"8","2018-07-20 16:59:14 +0800",5,"Crinia subinsignifera","2018-07-20",2,"Large pond","Natural area","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-20 09:16:11,2018-07-20 19:25:55,10.1622222222222,2018-07-20 09:15:43,2018-07-20 19:25:07,10.1566666666667,0.510982716674475,0.253496188473405,1,"2018_201",201,2018
"9","2018-07-27 16:43:19 +0800",5,"Crinia subinsignifera","2018-07-27",3,"Flooded area","Natural area","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-27 09:11:57,2018-07-27 19:30:40,10.3119444444444,2018-07-27 09:11:28,2018-07-27 19:29:52,10.3066666666667,0.993712464009137,0.474733416044951,1,"2018_208",208,2018
"10","2018-07-27 16:41:07 +0800",5,"Crinia subinsignifera","2018-07-27",3,"Flooded area","Natural area","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-27 09:11:57,2018-07-27 19:30:40,10.3119444444444,2018-07-27 09:11:28,2018-07-27 19:29:52,10.3066666666667,0.993712464009137,0.474733416044951,1,"2018_208",208,2018
"11","2018-07-25 15:00:33 +0800",5,"Crinia subinsignifera","2018-07-25",2,"None selected","None selected","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-25 09:13:17,2018-07-25 19:29:16,10.2663888888889,2018-07-25 09:12:48,2018-07-25 19:28:29,10.2613888888889,0.929192731613214,0.414266064616723,1,"2018_206",206,2018
"12","2018-07-26 12:39:54 +0800",5,"Crinia subinsignifera","2018-07-26",3,"Flooded area","Natural area","Boyup Brook (S)","WA",496,-34.25,116.75,2018-07-26 09:12:38,2018-07-26 19:29:58,10.2888888888889,2018-07-26 09:12:09,2018-07-26 19:29:10,10.2836111111111,0.970028825878126,0.444614557009852,1,"2018_207",207,2018
