"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2017-11-14 11:04:05 +1100",10,"Crinia tasmaniensis","2017-11-14",1,"River","Rural","Waratah/Wynyard (M)","TAS",4426,-41.25,145.75,2017-11-14 05:51:30,2017-11-14 20:15:09,14.3941666666667,2017-11-14 05:51:01,2017-11-14 20:14:33,14.3922222222222,0.187788626005633,0.857332864507912,1,"2017_318",318,2017
"2","2017-12-02 12:09:30 +1100",8,"Crinia tasmaniensis","2017-12-02",2,"Stream or creek","Natural area","West Coast (M)","TAS",4424,-42.25,145.75,2017-12-02 05:38:15,2017-12-02 20:39:03,15.0133333333333,2017-12-02 05:36:48,2017-12-02 20:38:46,15.0327777777778,0.959983585383187,0.435892452769581,1,"2017_336",336,2017
"3","2017-12-04 07:50:48 +1100",6,"Crinia tasmaniensis","2017-12-04",1,"Stream or creek","Natural area","Waratah/Wynyard (M)","TAS",4427,-40.75,145.75,2017-12-04 05:40:33,2017-12-04 20:36:52,14.9386111111111,2017-12-04 05:41:06,2017-12-04 20:36:02,14.9155555555556,0.997123759213139,0.5170793428545,1,"2017_338",338,2017
"4","2017-12-06 21:13:18 +1100",12,"Crinia tasmaniensis","2017-12-06",2,"Small pond","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2017-12-06 05:35:44,2017-12-06 20:40:21,15.0769444444444,2017-12-06 05:35:32,2017-12-06 20:39:13,15.0613888888889,0.926533108901171,0.587370136113618,1,"2017_340",340,2017
"5","2017-12-06 21:09:29 +1100",24,"Crinia tasmaniensis","2017-12-06",1,"Small pond","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2017-12-06 05:35:44,2017-12-06 20:40:22,15.0772222222222,2017-12-06 05:35:32,2017-12-06 20:39:13,15.0613888888889,0.926533108901171,0.587370136113618,1,"2017_340",340,2017
"6","2017-12-06 21:06:30 +1100",24,"Crinia tasmaniensis","2017-12-06",1,"Small pond","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2017-12-06 05:35:44,2017-12-06 20:40:21,15.0769444444444,2017-12-06 05:35:32,2017-12-06 20:39:13,15.0613888888889,0.926533108901171,0.587370136113618,1,"2017_340",340,2017
"7","2017-12-09 15:45:58 +1100",8,"Crinia tasmaniensis","2017-12-09",1,"None selected","None selected","Sorell (M)","TAS",4695,-42.75,147.75,2017-12-09 05:25:26,2017-12-09 20:38:50,15.2233333333333,2017-12-09 05:25:51,2017-12-09 20:39:27,15.2266666666667,0.659609585102274,0.698289693920849,1,"2017_343",343,2017
"8","2017-12-09 15:48:12 +1100",9,"Crinia tasmaniensis","2017-12-09",1,"None selected","None selected","Sorell (M)","TAS",4695,-42.75,147.75,2017-12-09 05:25:26,2017-12-09 20:38:50,15.2233333333333,2017-12-09 05:25:51,2017-12-09 20:39:27,15.2266666666667,0.659609585102274,0.698289693920849,1,"2017_343",343,2017
"9","2017-12-07 15:21:39 +1100",24.2719993591309,"Crinia tasmaniensis","2017-12-07",1,"Stream or creek","Rural","Kentish (M)","TAS",4425,-41.75,145.75,2017-12-07 05:36:59,2017-12-07 20:41:00,15.0669444444444,2017-12-07 05:37:24,2017-12-07 20:42:10,15.0794444444444,0.854398103801167,0.624619289752016,1,"2017_341",341,2017
"10","2017-12-25 07:08:28 +0800",5,"Crinia tasmaniensis","2017-12-25",1,"Small pond","Natural area","Kentish (M)","TAS",4425,-41.75,145.75,2017-12-25 05:41:46,2017-12-25 20:53:05,15.1886111111111,2017-12-25 05:41:56,2017-12-25 20:54:19,15.2063888888889,0.372371156702255,0.20891984771223,1,"2017_359",359,2017
"11","2017-12-31 09:26:39 +1100",3.90000009536743,"Crinia tasmaniensis","2017-12-31",1,"No visible water bodies","Natural area","Glamorgan/Spring Bay (M)","TAS",4764,-42.25,148.25,2017-12-31 05:34:33,2017-12-31 20:47:02,15.2080555555556,2017-12-31 05:34:23,2017-12-31 20:47:34,15.2197222222222,0.939441580961767,0.42085536668512,1,"2017_365",365,2017
"12","2018-02-11 13:19:56 +1100",9.10200023651123,"Crinia tasmaniensis","2018-02-11",1,"Stream or creek","Natural area","Northern Midlands (M)","TAS",4697,-41.75,147.75,2018-02-11 06:28:37,2018-02-11 20:21:28,13.8808333333333,2018-02-11 06:27:45,2018-02-11 20:21:29,13.8955555555556,0.205231245839862,0.85034498681908,1,"2018_42",42,2018
"13","2017-11-28 16:53:20 +1100",6,"Crinia tasmaniensis","2017-11-28",1,"Small pond","Natural area","Derwent Valley (M)","TAS",4559,-42.75,146.75,2017-11-28 05:33:44,2017-11-28 20:32:24,14.9777777777778,2017-11-28 05:32:47,2017-11-28 20:31:55,14.9855555555556,0.643964601726627,0.296483391654063,1,"2017_332",332,2017
"14","2017-12-12 20:07:30 +1100",5,"Crinia tasmaniensis","2017-12-12",1,"Large pond","Rural","Circular Head (M)","TAS",4359,-40.75,145.25,2017-12-12 05:41:25,2017-12-12 20:44:49,15.0566666666667,2017-12-12 05:42:45,2017-12-12 20:45:13,15.0411111111111,0.334974502241553,0.803532974277496,1,"2017_346",346,2017
"15","2018-04-15 20:50:25 +1000",10,"Crinia tasmaniensis","2018-04-15",3,"Flooded area","Natural area","Circular Head (M)","TAS",4290,-41.25,144.75,2018-04-15 06:51:09,2018-04-15 17:52:06,11.0158333333333,2018-04-15 06:51:49,2018-04-15 17:52:41,11.0144444444444,0.0167330809175895,0.958708870386864,1,"2018_105",105,2018
"16","2018-02-20 12:05:49 +1100",5,"Crinia tasmaniensis","2018-02-20",2,"Stream or creek","Natural area","Meander Valley (M)","TAS",4493,-41.75,146.25,2018-02-20 06:45:55,2018-02-20 20:16:08,13.5036111111111,2018-02-20 06:45:19,2018-02-20 20:15:11,13.4977777777778,0.169040963339834,0.134871331848215,1,"2018_51",51,2018
"17","2017-12-12 14:18:31 +1100",10,"Crinia tasmaniensis","2017-12-12",1,"Large pond","None selected","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2017-12-12 05:37:42,2017-12-12 20:42:52,15.0861111111111,2017-12-12 05:37:05,2017-12-12 20:42:52,15.0963888888889,0.334974502241553,0.803532974277496,1,"2017_346",346,2017
"18","2017-12-17 14:08:25 +1100",5,"Crinia tasmaniensis","2017-12-17",2,"None selected","None selected","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2017-12-17 05:39:12,2017-12-17 20:46:54,15.1283333333333,2017-12-17 05:38:05,2017-12-17 20:46:30,15.1402777777778,0.0153082005333505,0.960515511562598,1,"2017_351",351,2017
"19","2018-07-07 12:07:44 +1000",63.693000793457,"Crinia tasmaniensis","2018-07-07",2,"Stream or creek","Other","Break O'Day (M)","TAS",4766,-41.25,148.25,2018-07-07 07:33:50,2018-07-07 16:51:59,9.3025,2018-07-07 07:33:35,2018-07-07 16:52:15,9.31111111111111,0.417376631468187,0.776421022837565,1,"2018_188",188,2018
"20","2018-08-03 09:45:03 +1000",10,"Crinia tasmaniensis","2018-08-03",1,"Small pond","Natural area","Circular Head (M)","TAS",4359,-40.75,145.25,2018-08-03 07:24:56,2018-08-03 17:26:45,10.0302777777778,2018-08-03 07:25:15,2018-08-03 17:27:41,10.0405555555556,0.674099400208312,0.693396707743637,1,"2018_215",215,2018
"21","2018-08-05 17:47:57 +1000",5,"Crinia tasmaniensis","2018-08-05",2,"Large pond","Backyard/Suburbia","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2018-08-05 07:20:15,2018-08-05 17:25:01,10.0794444444444,2018-08-05 07:20:08,2018-08-05 17:24:31,10.0730555555556,0.461318087978486,0.762325150595571,1,"2018_217",217,2018
"22","2018-08-05 17:51:31 +1000",5,"Crinia tasmaniensis","2018-08-05",3,"Large pond","Backyard/Suburbia","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2018-08-05 07:20:15,2018-08-05 17:25:01,10.0794444444444,2018-08-05 07:20:08,2018-08-05 17:24:31,10.0730555555556,0.461318087978486,0.762325150595571,1,"2018_217",217,2018
"23","2018-08-05 17:54:01 +1000",5,"Crinia tasmaniensis","2018-08-05",4,"Large pond","Backyard/Suburbia","Central Coast (M) (Tas.)","TAS",4494,-41.25,146.25,2018-08-05 07:20:15,2018-08-05 17:25:01,10.0794444444444,2018-08-05 07:20:08,2018-08-05 17:24:31,10.0730555555556,0.461318087978486,0.762325150595571,1,"2018_217",217,2018
"24","2018-08-07 09:35:33 +1000",60.609001159668,"Crinia tasmaniensis","2018-08-07",1,"Stream or creek","Natural area","Circular Head (M)","TAS",4359,-40.75,145.25,2018-08-07 07:20:27,2018-08-07 17:30:30,10.1675,2018-08-07 07:20:46,2018-08-07 17:31:30,10.1788888888889,0.246173070995592,0.83474355661345,1,"2018_219",219,2018
"25","2018-08-23 15:55:18 +1000",10,"Crinia tasmaniensis","2018-08-23",1,"Stream or creek","Rural","Dorset (M)","TAS",4698,-41.25,147.75,2018-08-23 06:51:02,2018-08-23 17:37:24,10.7727777777778,2018-08-23 06:50:12,2018-08-23 17:36:21,10.7691666666667,0.89224772591892,0.393538993831178,1,"2018_235",235,2018
"26","2018-08-04 13:44:13 +1000",14.1560001373291,"Crinia tasmaniensis","2018-08-04",1,"Flooded area","Natural area","Derwent Valley (M)","TAS",4559,-42.75,146.75,2018-08-04 07:23:22,2018-08-04 17:18:30,9.91888888888889,2018-08-04 07:22:41,2018-08-04 17:18:08,9.92416666666667,0.570748607785779,0.727404186319164,1,"2018_216",216,2018
"27","2018-08-17 13:10:57 +1000",2540.51000976562,"Crinia tasmaniensis","2018-08-17",2,"No visible water bodies","Natural area","Glamorgan/Spring Bay (M)","TAS",4764,-42.25,148.25,2018-08-17 06:58:13,2018-08-17 17:26:39,10.4738888888889,2018-08-17 06:58:35,2018-08-17 17:26:41,10.4683333333333,0.357989694431844,0.204165792488342,1,"2018_229",229,2018
"28","2018-09-03 10:59:35 +1000",2800,"Crinia tasmaniensis","2018-09-03",2,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4426,-41.25,145.75,2018-09-03 06:41:56,2018-09-03 17:55:54,11.2327777777778,2018-09-03 06:40:55,2018-09-03 17:55:14,11.2386111111111,0.502068089717985,0.749341704720224,1,"2018_246",246,2018
"29","2018-09-20 17:00:54 +1000",2822,"Crinia tasmaniensis","2018-09-20",1,"Small pond","Natural area","Waratah/Wynyard (M)","TAS",4426,-41.25,145.75,2018-09-20 06:12:56,2018-09-20 18:12:46,11.9972222222222,2018-09-20 06:12:05,2018-09-20 18:11:56,11.9975,0.771437394730962,0.341332093014354,1,"2018_263",263,2018
"30","2018-09-20 18:59:00 +1000",172.673004150391,"Crinia tasmaniensis","2018-09-20",2,"Flooded area","Natural area","Waratah/Wynyard (M)","TAS",4426,-41.25,145.75,2018-09-20 06:12:50,2018-09-20 18:12:40,11.9972222222222,2018-09-20 06:12:05,2018-09-20 18:11:56,11.9975,0.771437394730962,0.341332093014354,1,"2018_263",263,2018
"31","2018-09-21 22:09:40 +1000",2821,"Crinia tasmaniensis","2018-09-21",2,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4426,-41.25,145.75,2018-09-21 06:11:12,2018-09-21 18:13:46,12.0427777777778,2018-09-21 06:10:21,2018-09-21 18:12:56,12.0430555555556,0.84497059240777,0.371181814769374,1,"2018_264",264,2018
"32","2018-09-29 11:22:58 +1000",3000,"Crinia tasmaniensis","2018-09-29",1,"Stream or creek","Natural area","Dorset (M)","TAS",4698,-41.25,147.75,2018-09-29 05:48:24,2018-09-29 18:12:47,12.4063888888889,2018-09-29 05:48:33,2018-09-29 18:12:59,12.4072222222222,0.846919216344782,0.627959090468273,1,"2018_272",272,2018
"33","2018-09-29 11:46:02 +1000",10,"Crinia tasmaniensis","2018-09-29",1,"Small pond","Natural area","Dorset (M)","TAS",4698,-41.25,147.75,2018-09-29 05:48:19,2018-09-29 18:12:41,12.4061111111111,2018-09-29 05:48:33,2018-09-29 18:12:59,12.4072222222222,0.846919216344782,0.627959090468273,1,"2018_272",272,2018
"34","2018-10-01 11:01:22 +1000",10,"Crinia tasmaniensis","2018-10-01",2,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4358,-41.25,145.25,2018-10-01 05:55:05,2018-10-01 18:25:14,12.5025,2018-10-01 05:55:07,2018-10-01 18:25:03,12.4988888888889,0.65552222130377,0.69966059800037,1,"2018_274",274,2018
"35","2018-10-01 10:43:57 +1000",15.0080003738403,"Crinia tasmaniensis","2018-10-01",1,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4358,-41.25,145.25,2018-10-01 05:55:05,2018-10-01 18:25:14,12.5025,2018-10-01 05:55:07,2018-10-01 18:25:03,12.4988888888889,0.65552222130377,0.69966059800037,1,"2018_274",274,2018
"36","2018-10-01 10:41:08 +1000",10,"Crinia tasmaniensis","2018-10-01",1,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4358,-41.25,145.25,2018-10-01 05:55:05,2018-10-01 18:25:14,12.5025,2018-10-01 05:55:07,2018-10-01 18:25:03,12.4988888888889,0.65552222130377,0.69966059800037,1,"2018_274",274,2018
"37","2018-10-01 10:37:21 +1000",10,"Crinia tasmaniensis","2018-10-01",1,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4358,-41.25,145.25,2018-10-01 05:55:05,2018-10-01 18:25:14,12.5025,2018-10-01 05:55:07,2018-10-01 18:25:03,12.4988888888889,0.65552222130377,0.69966059800037,1,"2018_274",274,2018
"38","2018-10-01 10:31:22 +1000",10,"Crinia tasmaniensis","2018-10-01",1,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4357,-41.75,145.25,2018-10-01 05:55:05,2018-10-01 18:25:14,12.5025,2018-10-01 05:54:53,2018-10-01 18:25:16,12.5063888888889,0.65552222130377,0.69966059800037,1,"2018_274",274,2018
"39","2018-10-01 10:19:13 +1000",12.8640003204346,"Crinia tasmaniensis","2018-10-01",1,"Large pond","Natural area","Waratah/Wynyard (M)","TAS",4357,-41.75,145.25,2018-10-01 05:55:05,2018-10-01 18:25:15,12.5027777777778,2018-10-01 05:54:53,2018-10-01 18:25:16,12.5063888888889,0.65552222130377,0.69966059800037,1,"2018_274",274,2018
"40","2018-09-29 17:14:57 +1000",12.8640003204346,"Crinia tasmaniensis","2018-09-29",1,"Small pond","Natural area","Kentish (M)","TAS",4425,-41.75,145.75,2018-09-29 05:55:34,2018-09-29 18:20:17,12.4119444444444,2018-09-29 05:56:22,2018-09-29 18:21:10,12.4133333333333,0.846919216344782,0.627959090468273,1,"2018_272",272,2018
"41","2018-10-07 10:29:45 +1100",5,"Crinia tasmaniensis","2018-10-07",1,"Large pond","Rural","Dorset (M)","TAS",4698,-41.25,147.75,2018-10-07 06:36:00,2018-10-07 19:22:14,12.7705555555556,2018-10-07 06:35:00,2018-10-07 19:21:20,12.7722222222222,0.0552338968827191,0.924484785762826,1,"2018_280",280,2018
"42","2018-10-11 13:35:53 +1100",5,"Crinia tasmaniensis","2018-10-11",1,"Large pond","Natural area","Circular Head (M)","TAS",4358,-41.25,145.25,2018-10-11 06:39:05,2018-10-11 19:36:09,12.9511111111111,2018-10-11 06:38:24,2018-10-11 19:35:40,12.9544444444444,0.0467904512387901,0.0694025138849018,1,"2018_284",284,2018
