"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2017-12-23 21:10:42 +1100",455.209991455078,"Litoria barringtonensis","2017-12-23",1,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017
"2","2017-12-23 21:12:47 +1100",675.942016601562,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017
"3","2017-12-23 21:14:36 +1100",2600,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:05,2017-12-23 19:51:10,14.1013888888889,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017
"4","2017-12-23 22:45:43 +1100",4,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017
"5","2017-12-23 22:47:23 +1100",4,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017
"6","2017-12-23 22:49:00 +1100",4,"Litoria barringtonensis","2017-12-23",2,"Small pond","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-23 05:45:00,2017-12-23 19:51:12,14.1033333333333,2017-12-23 05:44:14,2017-12-23 19:50:05,14.0975,0.192176529225677,0.144447379817823,1,"2017_357",357,2017
"7","2017-12-26 20:32:13 +1100",4,"Litoria barringtonensis","2017-12-26",1,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017
"8","2017-12-26 20:46:16 +1100",4,"Litoria barringtonensis","2017-12-26",2,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017
"9","2017-12-26 20:48:35 +1100",4,"Litoria barringtonensis","2017-12-26",2,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017
"10","2017-12-26 20:58:07 +1100",4,"Litoria barringtonensis","2017-12-26",2,"Stream or creek","Rural","Coffs Harbour (C)","NSW",5468,-30.25,153.25,2017-12-26 05:46:37,2017-12-26 19:52:28,14.0975,2017-12-26 05:45:51,2017-12-26 19:51:21,14.0916666666667,0.476032425604813,0.242367959427294,1,"2017_360",360,2017
