"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2017-11-12 19:08:51 +1000",30.451000213623,"Litoria infrafrenata","2017-11-12",1,"Small pond","Backyard/Suburbia","Cairns (R)","QLD",4475,-16.75,145.75,2017-11-12 06:37:00,2017-11-12 19:28:29,12.8580555555556,2017-11-12 06:36:51,2017-11-12 19:28:06,12.8541666666667,0.384232319081052,0.787187449387181,1,"2017_316",316,2017
"2","2017-11-12 19:15:38 +1000",20,"Litoria infrafrenata","2017-11-12",1,"Small pond","Backyard/Suburbia","Cairns (R)","QLD",4475,-16.75,145.75,2017-11-12 06:37:00,2017-11-12 19:28:29,12.8580555555556,2017-11-12 06:36:51,2017-11-12 19:28:06,12.8541666666667,0.384232319081052,0.787187449387181,1,"2017_316",316,2017
"3","2017-11-12 20:07:38 +1000",20,"Litoria infrafrenata","2017-11-12",2,"Small pond","Backyard/Suburbia","Cairns (R)","QLD",4475,-16.75,145.75,2017-11-12 06:37:00,2017-11-12 19:28:29,12.8580555555556,2017-11-12 06:36:51,2017-11-12 19:28:06,12.8541666666667,0.384232319081052,0.787187449387181,1,"2017_316",316,2017
"4","2017-11-17 18:47:52 +1000",31.8209991455078,"Litoria infrafrenata","2017-11-17",1,"No visible water bodies","Backyard/Suburbia","Cairns (R)","QLD",4475,-16.75,145.75,2017-11-17 06:35:48,2017-11-17 19:31:03,12.9208333333333,2017-11-17 06:35:56,2017-11-17 19:30:44,12.9133333333333,0.0204166017728403,0.954361553982459,1,"2017_321",321,2017
"5","2017-11-17 19:41:22 +1000",109,"Litoria infrafrenata","2017-11-17",1,"Large pond","Backyard/Suburbia","Whitsunday (R)","QLD",4876,-20.25,148.75,2017-11-17 06:18:46,2017-11-17 19:24:31,13.0958333333333,2017-11-17 06:18:29,2017-11-17 19:24:11,13.095,0.0204166017728403,0.954361553982459,1,"2017_321",321,2017
"6","2017-11-17 20:57:25 +1000",20,"Litoria infrafrenata","2017-11-17",2,"No visible water bodies","Rural","Mareeba (S)","QLD",4475,-16.75,145.75,2017-11-17 06:36:18,2017-11-17 19:31:33,12.9208333333333,2017-11-17 06:35:56,2017-11-17 19:30:44,12.9133333333333,0.0204166017728403,0.954361553982459,1,"2017_321",321,2017
"7","2017-11-13 18:38:10 +1000",34.4000015258789,"Litoria infrafrenata","2017-11-13",1,"None selected","None selected","Whitsunday (R)","QLD",4876,-20.25,148.75,2017-11-13 06:19:34,2017-11-13 19:22:19,13.0458333333333,2017-11-13 06:19:29,2017-11-13 19:21:45,13.0377777777778,0.279406972727676,0.822721057202942,1,"2017_317",317,2017
"8","2017-11-20 19:35:49 +1000",23.2099990844727,"Litoria infrafrenata","2017-11-20",1,"Large pond","Backyard/Suburbia","Cairns (R)","QLD",4475,-16.75,145.75,2017-11-20 06:35:47,2017-11-20 19:32:40,12.9480555555556,2017-11-20 06:35:38,2017-11-20 19:32:23,12.9458333333333,0.0249031729792903,0.0504425125560289,1,"2017_324",324,2017
"9","2017-11-20 21:34:04 +1000",4,"Litoria infrafrenata","2017-11-20",1,"None selected","Backyard/Suburbia","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2017-11-20 06:32:25,2017-11-20 19:32:44,13.0052777777778,2017-11-20 06:32:02,2017-11-20 19:31:59,12.9991666666667,0.0249031729792903,0.0504425125560289,1,"2017_324",324,2017
"10","2017-11-22 18:40:11 +1000",28,"Litoria infrafrenata","2017-11-22",2,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2017-11-22 06:37:24,2017-11-22 19:34:43,12.9552777777778,2017-11-22 06:37:32,2017-11-22 19:35:31,12.9663888888889,0.112680120630682,0.108965602033106,1,"2017_326",326,2017
"11","2017-11-22 21:03:36 +1000",23.5,"Litoria infrafrenata","2017-11-22",1,"Stream or creek","Natural area","Cairns (R)","QLD",4475,-16.75,145.75,2017-11-22 06:35:19,2017-11-22 19:33:50,12.9752777777778,2017-11-22 06:35:32,2017-11-22 19:33:31,12.9663888888889,0.112680120630682,0.108965602033106,1,"2017_326",326,2017
"12","2017-11-23 09:12:42 +1000",8,"Litoria infrafrenata","2017-11-23",1,"Small pond","Rural","Mareeba (S)","QLD",4407,-16.75,145.25,2017-11-23 06:37:16,2017-11-23 19:35:15,12.9663888888889,2017-11-23 06:37:30,2017-11-23 19:36:06,12.9766666666667,0.178294307256148,0.138759247647607,1,"2017_327",327,2017
"13","2017-11-24 09:36:51 +1000",1300,"Litoria infrafrenata","2017-11-24",1,"Flooded area","City","Cairns (R)","QLD",4475,-16.75,145.75,2017-11-24 06:35:14,2017-11-24 19:34:54,12.9944444444444,2017-11-24 06:35:30,2017-11-24 19:34:40,12.9861111111111,0.256353404272356,0.168992151021644,1,"2017_328",328,2017
"14","2017-11-24 19:03:21 +1000",16.8889999389648,"Litoria infrafrenata","2017-11-24",1,"Small pond","Backyard/Suburbia","Douglas (S)","QLD",4408,-16.25,145.25,2017-11-24 06:37:22,2017-11-24 19:35:33,12.9697222222222,2017-11-24 06:38:20,2017-11-24 19:35:50,12.9583333333333,0.256353404272356,0.168992151021644,1,"2017_328",328,2017
"15","2017-11-30 23:15:24 +1000",4,"Litoria infrafrenata","2017-12-01",1,"None selected","None selected","Cairns (R)","QLD",4474,-17.25,145.75,2017-12-01 06:34:18,2017-12-01 19:39:08,13.0805555555556,2017-12-01 06:35:08,2017-12-01 19:39:41,13.0758333333333,0.904819431707736,0.400168506639711,1,"2017_335",335,2017
"16","2017-12-01 22:44:48 +1000",12,"Litoria infrafrenata","2017-12-01",1,"None selected","Backyard/Suburbia","Cairns (R)","QLD",4475,-16.75,145.75,2017-12-01 06:35:48,2017-12-01 19:39:09,13.0558333333333,2017-12-01 06:36:02,2017-12-01 19:38:48,13.0461111111111,0.904819431707736,0.400168506639711,1,"2017_335",335,2017
