"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2017-11-15 20:48:10 +1100",24.8999996185303,"Litoria paraewingi","2017-11-15",1,"Small pond","Backyard/Suburbia","Alpine (S)","VIC",4571,-36.75,146.75,2017-11-15 05:56:01,2017-11-15 20:00:13,14.07,2017-11-15 05:56:48,2017-11-15 20:01:06,14.0716666666667,0.112915254456334,0.890916100930206,1,"2017_319",319,2017
"2","2017-12-15 21:30:35 +1100",20,"Litoria paraewingi","2017-12-15",2,"Large pond","Natural area","Murrindindi (S)","VIC",4434,-37.25,145.75,2017-12-15 05:52:38,2017-12-15 20:34:38,14.7,2017-12-15 05:52:14,2017-12-15 20:34:29,14.7041666666667,0.0947484567953534,0.900403092991612,1,"2017_349",349,2017
"3","2018-03-29 19:50:59 +1100",65.4179992675781,"Litoria paraewingi","2018-03-29",2,"Small pond","Rural","Murrindindi (S)","VIC",4365,-37.75,145.25,2018-03-29 07:30:23,2018-03-29 19:19:10,11.8130555555556,2018-03-29 07:30:47,2018-03-29 19:19:26,11.8108333333333,0.931185973574878,0.415510992550342,1,"2018_88",88,2018
"4","2017-12-11 22:54:47 +1100",165,"Litoria paraewingi","2017-12-11",4,"Flooded area","Rural","Wangaratta (RC)","VIC",4504,-36.25,146.25,2017-12-11 05:51:56,2017-12-11 20:26:43,14.5797222222222,2017-12-11 05:52:20,2017-12-11 20:26:43,14.5730555555556,0.439386248081456,0.769341529439659,1,"2017_345",345,2017
"5","2017-12-11 22:58:16 +1100",5,"Litoria paraewingi","2017-12-11",4,"Flooded area","Rural","Wangaratta (RC)","VIC",4504,-36.25,146.25,2017-12-11 05:51:56,2017-12-11 20:26:43,14.5797222222222,2017-12-11 05:52:20,2017-12-11 20:26:43,14.5730555555556,0.439386248081456,0.769341529439659,1,"2017_345",345,2017
"6","2017-11-19 21:00:56 +1100",5,"Litoria paraewingi","2017-11-19",3,"Large pond","Rural","Murrindindi (S)","VIC",4366,-37.25,145.25,2017-11-19 05:58:12,2017-11-19 20:12:26,14.2372222222222,2017-11-19 05:59:00,2017-11-19 20:12:32,14.2255555555556,0.00530980818533006,0.02321531767362,1,"2017_323",323,2017
"7","2018-04-23 17:44:33 +1000",16,"Litoria paraewingi","2018-04-23",1,"No visible water bodies","Backyard/Suburbia","Mansfield (S)","VIC",4502,-37.25,146.25,2018-04-23 06:48:59,2018-04-23 17:41:24,10.8736111111111,2018-04-23 06:48:36,2018-04-23 17:40:28,10.8644444444444,0.51272615594821,0.254051298750595,1,"2018_113",113,2018
"8","2018-05-05 14:32:28 +1000",5,"Litoria paraewingi","2018-05-05",2,"Large pond","Natural area","Murrindindi (S)","VIC",4366,-37.25,145.25,2018-05-05 07:02:30,2018-05-05 17:30:02,10.4588888888889,2018-05-05 07:03:18,2018-05-05 17:30:40,10.4561111111111,0.771174425707837,0.658767558508643,1,"2018_125",125,2018
"9","2018-05-26 16:53:00 +1000",5,"Litoria paraewingi","2018-05-26",1,"Small pond","Backyard/Suburbia","Benalla (RC)","VIC",4435,-36.75,145.75,2018-05-26 07:16:15,2018-05-26 17:12:51,9.94333333333333,2018-05-26 07:17:35,2018-05-26 17:13:18,9.92861111111111,0.876407494705951,0.385652258029404,1,"2018_146",146,2018
"10","2018-06-09 17:58:59 +1000",122.400001525879,"Litoria paraewingi","2018-06-09",2,"Stream or creek","None selected","Indigo (S)","VIC",4572,-36.25,146.75,2018-06-09 07:21:33,2018-06-09 17:06:04,9.74194444444444,2018-06-09 07:20:59,2018-06-09 17:06:07,9.75222222222222,0.271258343134036,0.825624525532644,1,"2018_160",160,2018
"11","2018-06-10 20:02:20 +1000",5,"Litoria paraewingi","2018-06-10",3,"Large pond","Natural area","Albury (C)","NSW",4572,-36.25,146.75,2018-06-10 07:19:57,2018-06-10 17:05:40,9.76194444444444,2018-06-10 07:21:28,2018-06-10 17:06:00,9.74222222222222,0.181973230876678,0.859717131384586,1,"2018_161",161,2018
"12","2018-06-10 20:14:55 +1000",5,"Litoria paraewingi","2018-06-10",2,"Large pond","Rural","Albury (C)","NSW",4572,-36.25,146.75,2018-06-10 07:19:57,2018-06-10 17:05:40,9.76194444444444,2018-06-10 07:21:28,2018-06-10 17:06:00,9.74222222222222,0.181973230876678,0.859717131384586,1,"2018_161",161,2018
