"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2017-11-25 22:44:43 +1000",2900,"Litoria serrata","2017-11-25",1,"Stream or creek","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2017-11-25 06:37:35,2017-11-25 19:36:23,12.98,2017-11-25 06:38:21,2017-11-25 19:36:25,12.9677777777778,0.344859229506633,0.199788338134769,1,"2017_329",329,2017
"2","2017-11-25 22:43:58 +1000",2900,"Litoria serrata","2017-11-25",1,"None selected","None selected","Douglas (S)","QLD",4408,-16.25,145.25,2017-11-25 06:37:35,2017-11-25 19:36:23,12.98,2017-11-25 06:38:21,2017-11-25 19:36:25,12.9677777777778,0.344859229506633,0.199788338134769,1,"2017_329",329,2017
"3","2017-11-25 22:42:54 +1000",2900,"Litoria serrata","2017-11-25",1,"None selected","None selected","Douglas (S)","QLD",4408,-16.25,145.25,2017-11-25 06:37:35,2017-11-25 19:36:23,12.98,2017-11-25 06:38:21,2017-11-25 19:36:25,12.9677777777778,0.344859229506633,0.199788338134769,1,"2017_329",329,2017
"4","2018-01-07 19:05:51 +1000",8,"Litoria serrata","2018-01-07",3,"None selected","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-07 06:53:58,2018-01-07 19:58:05,13.0686111111111,2018-01-07 06:53:47,2018-01-07 19:58:28,13.0780555555556,0.710989850429822,0.680667673580828,1,"2018_7",7,2018
"5","2018-01-27 20:10:42 +1000",6,"Litoria serrata","2018-01-27",2,"No visible water bodies","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-01-27 07:06:02,2018-01-27 19:59:24,12.8894444444444,2018-01-27 07:05:54,2018-01-27 19:59:44,12.8972222222222,0.745049697566038,0.33151976315911,1,"2018_27",27,2018
"6","2018-03-10 20:04:06 +1000",2563.28835819844,"Litoria serrata","2018-03-10",3,"Small pond","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2018-03-10 07:21:07,2018-03-10 19:38:56,12.2969444444444,2018-03-10 07:22:00,2018-03-10 19:39:41,12.2947222222222,0.45176723158174,0.765376878720005,1,"2018_69",69,2018
"7","2018-04-30 20:07:41 +1000",10,"Litoria serrata","2018-04-30",1,"Stream or creek","Natural area","Mareeba (S)","QLD",4475,-16.75,145.75,2018-04-30 06:30:26,2018-04-30 18:01:27,11.5169444444444,2018-04-30 06:29:53,2018-04-30 18:01:04,11.5197222222222,0.9979085255788,0.514562230741602,1,"2018_120",120,2018
"8","2018-04-30 20:11:32 +1000",10,"Litoria serrata","2018-04-30",1,"Stream or creek","Natural area","Mareeba (S)","QLD",4475,-16.75,145.75,2018-04-30 06:30:26,2018-04-30 18:01:27,11.5169444444444,2018-04-30 06:29:53,2018-04-30 18:01:04,11.5197222222222,0.9979085255788,0.514562230741602,1,"2018_120",120,2018
"9","2018-05-22 21:35:22 +1000",10,"Litoria serrata","2018-05-22",1,"None selected","None selected","Douglas (S)","QLD",4408,-16.25,145.25,2018-05-22 06:38:06,2018-05-22 17:55:20,11.2872222222222,2018-05-22 06:38:05,2018-05-22 17:56:02,11.2991666666667,0.477278332300868,0.242764976911787,1,"2018_142",142,2018
"10","2018-05-22 21:39:49 +1000",35.8499984741211,"Litoria serrata","2018-05-22",1,"Stream or creek","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-05-22 06:38:06,2018-05-22 17:55:20,11.2872222222222,2018-05-22 06:38:05,2018-05-22 17:56:02,11.2991666666667,0.477278332300868,0.242764976911787,1,"2018_142",142,2018
"11","2018-05-22 21:36:33 +1000",1387.91003417969,"Litoria serrata","2018-05-22",1,"None selected","None selected","Douglas (S)","QLD",4408,-16.25,145.25,2018-05-22 06:38:06,2018-05-22 17:55:20,11.2872222222222,2018-05-22 06:38:05,2018-05-22 17:56:02,11.2991666666667,0.477278332300868,0.242764976911787,1,"2018_142",142,2018
"12","2018-09-12 21:42:21 +1000",64,"Litoria serrata","2018-09-12",1,"Stream or creek","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-09-12 06:18:21,2018-09-12 18:14:59,11.9438888888889,2018-09-12 06:18:34,2018-09-12 18:15:20,11.9461111111111,0.0703200609551218,0.0854311504457683,1,"2018_255",255,2018
"13","2018-09-12 21:40:59 +1000",400,"Litoria serrata","2018-09-12",1,"Stream or creek","Natural area","Douglas (S)","QLD",4408,-16.25,145.25,2018-09-12 06:18:18,2018-09-12 18:14:56,11.9438888888889,2018-09-12 06:18:34,2018-09-12 18:15:20,11.9461111111111,0.0703200609551218,0.0854311504457683,1,"2018_255",255,2018
"14","2018-11-17 20:02:27 +1000",5.2480001449585,"Litoria serrata","2018-11-17",3,"Stream or creek","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-17 06:38:06,2018-11-17 19:32:14,12.9022222222222,2018-11-17 06:37:59,2018-11-17 19:32:35,12.91,0.633995951856881,0.293180023048542,1,"2018_321",321,2018
"15","2018-11-17 19:59:06 +1000",17.1520004272461,"Litoria serrata","2018-11-17",2,"Stream or creek","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-17 06:38:06,2018-11-17 19:32:14,12.9022222222222,2018-11-17 06:37:59,2018-11-17 19:32:35,12.91,0.633995951856881,0.293180023048542,1,"2018_321",321,2018
"16","2018-11-17 19:41:25 +1000",3,"Litoria serrata","2018-11-17",2,"Stream or creek","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-17 06:38:07,2018-11-17 19:32:15,12.9022222222222,2018-11-17 06:37:59,2018-11-17 19:32:35,12.91,0.633995951856881,0.293180023048542,1,"2018_321",321,2018
"17","2018-11-17 19:39:23 +1000",3,"Litoria serrata","2018-11-17",2,"Stream or creek","None selected","Mareeba (S)","QLD",4407,-16.75,145.25,2018-11-17 06:38:07,2018-11-17 19:32:15,12.9022222222222,2018-11-17 06:37:59,2018-11-17 19:32:35,12.91,0.633995951856881,0.293180023048542,1,"2018_321",321,2018
