"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year"
"1","2018-02-04 19:38:40 +1000",7.58500003814697,"Uperoleia altissima","2018-02-04",4,"None selected","None selected","Mareeba (S)","QLD",4406,-17.25,145.25,2018-02-04 07:09:16,2018-02-04 19:57:48,12.8088888888889,2018-02-04 07:09:34,2018-02-04 19:58:44,12.8194444444444,0.848692278136673,0.627173496067765,1,"2018_35",35,2018
"2","2018-02-04 19:36:57 +1000",12.1359996795654,"Uperoleia altissima","2018-02-04",4,"None selected","None selected","Mareeba (S)","QLD",4406,-17.25,145.25,2018-02-04 07:09:16,2018-02-04 19:57:48,12.8088888888889,2018-02-04 07:09:34,2018-02-04 19:58:44,12.8194444444444,0.848692278136673,0.627173496067765,1,"2018_35",35,2018
"3","2018-02-05 21:02:59 +1000",10.6190004348755,"Uperoleia altissima","2018-02-05",5,"None selected","None selected","Mareeba (S)","QLD",4406,-17.25,145.25,2018-02-05 07:09:47,2018-02-05 19:57:30,12.7952777777778,2018-02-05 07:10:05,2018-02-05 19:58:26,12.8058333333333,0.763956186218351,0.661487470938553,1,"2018_36",36,2018
"4","2018-02-26 21:19:23 +1000",10,"Uperoleia altissima","2018-02-26",3,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-02-26 07:19:17,2018-02-26 19:47:46,12.4747222222222,2018-02-26 07:19:09,2018-02-26 19:47:48,12.4775,0.805844643125283,0.354754860672503,1,"2018_57",57,2018
"5","2018-02-26 21:12:45 +1000",10,"Uperoleia altissima","2018-02-26",3,"Stream or creek","Natural area","Mareeba (S)","QLD",4407,-16.75,145.25,2018-02-26 07:19:17,2018-02-26 19:47:46,12.4747222222222,2018-02-26 07:19:09,2018-02-26 19:47:48,12.4775,0.805844643125283,0.354754860672503,1,"2018_57",57,2018
"6","2018-03-21 22:40:16 +1000",10,"Uperoleia altissima","2018-03-21",2,"Stream or creek","Natural area","Mareeba (S)","QLD",4474,-17.25,145.75,2018-03-21 07:22:55,2018-03-21 19:29:47,12.1144444444444,2018-03-21 07:22:12,2018-03-21 19:29:04,12.1144444444444,0.131448362597858,0.118096555166159,1,"2018_80",80,2018
"7","2018-02-09 19:52:34 +1000",6,"Uperoleia altissima","2018-02-09",2,"Stream or creek","Natural area","Mareeba (S)","QLD",4474,-17.25,145.75,2018-02-09 07:11:05,2018-02-09 19:55:27,12.7394444444444,2018-02-09 07:10:04,2018-02-09 19:55:02,12.7494444444444,0.376064367263848,0.789865500892208,1,"2018_40",40,2018
"8","2017-11-28 20:43:34 +1000",32,"Uperoleia altissima","2017-11-28",3,"Large pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2017-11-28 06:35:54,2017-11-28 19:39:03,13.0525,2017-11-28 06:36:49,2017-11-28 19:39:53,13.0511111111111,0.643964601726627,0.296483391654063,1,"2017_332",332,2017
"9","2017-12-04 20:56:45 +1000",32,"Uperoleia altissima","2017-12-04",3,"Large pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2017-12-04 06:36:43,2017-12-04 19:42:40,13.0991666666667,2017-12-04 06:37:38,2017-12-04 19:43:30,13.0977777777778,0.997123759213139,0.5170793428545,1,"2017_338",338,2017
"10","2018-12-05 20:19:46 +1000",65,"Uperoleia altissima","2018-12-05",4,"Small pond","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2018-12-05 06:36:52,2018-12-05 19:43:06,13.1038888888889,2018-12-05 06:37:47,2018-12-05 19:43:56,13.1025,0.0527259419059801,0.926251237827872,1,"2018_339",339,2018
